run,ber,timelimit,repetition,Module,throughput:last
Thousand_Runs-426-20200611-02:22:28-45434,1e-7,10,426,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-435-20200611-02:22:28-45441,1e-7,10,435,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2473-20200611-02:39:22-46230,1e-7,1000,473,Exercise6.client.pppg$o[0].channel,775008.73750184
Thousand_Runs-2910-20200611-02:51:33-46349,1e-7,1000,910,Exercise6.client.pppg$o[0].channel,798558.7276848
Thousand_Runs-264-20200611-02:22:19-45392,1e-7,10,264,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-701-20200611-02:22:42-45576,1e-7,10,701,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1699-20200611-02:25:20-46025,1e-7,100,699,Exercise6.client.pppg$o[0].channel,652574.52244857
Thousand_Runs-1974-20200611-02:26:19-46094,1e-7,100,974,Exercise6.client.pppg$o[0].channel,672577.26023884
Thousand_Runs-1965-20200611-02:26:16-46092,1e-7,100,965,Exercise6.client.pppg$o[0].channel,730127.3467883
Thousand_Runs-2021-20200611-02:26:57-46106,1e-7,1000,21,Exercise6.client.pppg$o[0].channel,774923.52718771
Thousand_Runs-354-20200611-02:22:24-45413,1e-7,10,354,Exercise6.client.pppg$o[0].channel,216548.60122468
Thousand_Runs-2279-20200611-02:34:14-46175,1e-7,1000,279,Exercise6.client.pppg$o[0].channel,747226.41549162
Thousand_Runs-345-20200611-02:22:24-45412,1e-7,10,345,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1036-20200611-02:23:04-45672,1e-7,100,36,Exercise6.client.pppg$o[0].channel,701393.52854824
Thousand_Runs-2554-20200611-02:41:39-46250,1e-7,1000,554,Exercise6.client.pppg$o[0].channel,777645.27631572
Thousand_Runs-2306-20200611-02:35:01-46182,1e-7,1000,306,Exercise6.client.pppg$o[0].channel,755003.09068784
Thousand_Runs-1884-20200611-02:25:58-46072,1e-7,100,884,Exercise6.client.pppg$o[0].channel,694050.62480728
Thousand_Runs-183-20200611-02:22:15-45368,1e-7,10,183,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1314-20200611-02:24:02-45929,1e-7,100,314,Exercise6.client.pppg$o[0].channel,599439.46454986
Thousand_Runs-104-20200611-02:22:11-45350,1e-7,10,104,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-710-20200611-02:22:42-45578,1e-7,10,710,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2795-20200611-02:48:23-46314,1e-7,1000,795,Exercise6.client.pppg$o[0].channel,778706.45435918
Thousand_Runs-1393-20200611-02:24:18-45949,1e-7,100,393,Exercise6.client.pppg$o[0].channel,649488.45947749
Thousand_Runs-2075-20200611-02:28:30-46121,1e-7,1000,75,Exercise6.client.pppg$o[0].channel,751308.00948181
Thousand_Runs-2225-20200611-02:32:41-46162,1e-7,1000,225,Exercise6.client.pppg$o[0].channel,789816.97979908
Thousand_Runs-2716-20200611-02:45:54-46293,1e-7,1000,716,Exercise6.client.pppg$o[0].channel,779891.71078357
Thousand_Runs-2500-20200611-02:40:06-46237,1e-7,1000,500,Exercise6.client.pppg$o[0].channel,770611.21185771
Thousand_Runs-516-20200611-02:22:32-45511,1e-7,10,516,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-854-20200611-02:22:49-45620,1e-7,10,854,Exercise6.client.pppg$o[0].channel,400921.5150457
Thousand_Runs-1902-20200611-02:26:03-46076,1e-7,100,902,Exercise6.client.pppg$o[0].channel,654151.05999491
Thousand_Runs-579-20200611-02:22:36-45542,1e-7,10,579,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2966-20200611-02:53:18-46366,1e-7,1000,966,Exercise6.client.pppg$o[0].channel,790652.91166677
Thousand_Runs-2788-20200611-02:48:01-46313,1e-7,1000,788,Exercise6.client.pppg$o[0].channel,763768.26745051
Thousand_Runs-1805-20200611-02:25:41-46052,1e-7,100,805,Exercise6.client.pppg$o[0].channel,637664.83631051
Thousand_Runs-1289-20200611-02:23:57-45923,1e-7,100,289,Exercise6.client.pppg$o[0].channel,714888.99438224
Thousand_Runs-1564-20200611-02:24:51-45992,1e-7,100,564,Exercise6.client.pppg$o[0].channel,739028.53644588
