run,ber,timelimit,repetition,Module,throughput:last
Hundred_Runs-249-20200611-02:18:00-44662,1e-7,1000,49,Exercise6.client.pppg$o[0].channel,772416.7685252
Hundred_Runs-266-20200611-02:18:38-44856,1e-7,1000,66,Exercise6.client.pppg$o[0].channel,783031.14633965
Hundred_Runs-223-20200611-02:17:17-44551,1e-7,1000,23,Exercise6.client.pppg$o[0].channel,770915.37243911
Hundred_Runs-48-20200611-02:16:07-44318,1e-7,10,48,Exercise6.client.pppg$o[0].channel,169858.51774077
Hundred_Runs-167-20200611-02:16:24-44349,1e-7,100,67,Exercise6.client.pppg$o[0].channel,684383.68228691
Hundred_Runs-245-20200611-02:17:35-44563,1e-7,1000,45,Exercise6.client.pppg$o[0].channel,779721.57197881
Hundred_Runs-270-20200611-02:18:40-44859,1e-7,1000,70,Exercise6.client.pppg$o[0].channel,786296.7904861
Hundred_Runs-258-20200611-02:18:10-44666,1e-7,1000,58,Exercise6.client.pppg$o[0].channel,789670.68063485
Hundred_Runs-262-20200611-02:18:12-44669,1e-7,1000,62,Exercise6.client.pppg$o[0].channel,787604.10944242
Hundred_Runs-135-20200611-02:16:18-44340,1e-7,100,35,Exercise6.client.pppg$o[0].channel,706368.81991633
Hundred_Runs-288-20200611-02:18:57-44955,1e-7,1000,88,Exercise6.client.pppg$o[0].channel,789814.95037039
Hundred_Runs-215-20200611-02:16:52-44455,1e-7,1000,15,Exercise6.client.pppg$o[0].channel,767601.69762494
Hundred_Runs-16-20200611-02:16:06-44313,1e-7,10,16,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-76-20200611-02:16:08-44325,1e-7,10,76,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-63-20200611-02:16:07-44321,1e-7,10,63,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-20-20200611-02:16:06-44311,1e-7,10,20,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-178-20200611-02:16:24-44350,1e-7,100,78,Exercise6.client.pppg$o[0].channel,710775.72723178
Hundred_Runs-33-20200611-02:16:06-44315,1e-7,10,33,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-182-20200611-02:16:27-44446,1e-7,100,82,Exercise6.client.pppg$o[0].channel,664223.07461221
Hundred_Runs-152-20200611-02:16:19-44344,1e-7,100,52,Exercise6.client.pppg$o[0].channel,693066.45702355
Hundred_Runs-281-20200611-02:19:01-44952,1e-7,1000,81,Exercise6.client.pppg$o[0].channel,781431.64233713
Hundred_Runs-195-20200611-02:16:28-44449,1e-7,100,95,Exercise6.client.pppg$o[0].channel,668011.47909659
Hundred_Runs-59-20200611-02:16:07-44320,1e-7,10,59,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-294-20200611-02:19:12-44956,1e-7,1000,94,Exercise6.client.pppg$o[0].channel,788634.94616096
Hundred_Runs-170-20200611-02:16:24-44347,1e-7,100,70,Exercise6.client.pppg$o[0].channel,761099.51291302
Hundred_Runs-25-20200611-02:16:06-44312,1e-7,10,25,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-86-20200611-02:16:09-44328,1e-7,10,86,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-146-20200611-02:16:18-44342,1e-7,100,46,Exercise6.client.pppg$o[0].channel,653863.21417204
Hundred_Runs-278-20200611-02:18:43-44950,1e-7,1000,78,Exercise6.client.pppg$o[0].channel,772551.0183583
Hundred_Runs-43-20200611-02:16:07-44314,1e-7,10,43,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-179-20200611-02:16:25-44350,1e-7,100,79,Exercise6.client.pppg$o[0].channel,698910.11956405
Hundred_Runs-219-20200611-02:17:15-44550,1e-7,1000,19,Exercise6.client.pppg$o[0].channel,788389.54914547
Hundred_Runs-136-20200611-02:16:16-44339,1e-7,100,36,Exercise6.client.pppg$o[0].channel,621244.55604341
Hundred_Runs-235-20200611-02:17:44-44560,1e-7,1000,35,Exercise6.client.pppg$o[0].channel,778452.47320571
Hundred_Runs-189-20200611-02:16:26-44448,1e-7,100,89,Exercise6.client.pppg$o[0].channel,675718.72408384
Hundred_Runs-92-20200611-02:16:09-44329,1e-7,10,92,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-111-20200611-02:16:11-44333,1e-7,100,11,Exercise6.client.pppg$o[0].channel,673022.69441121
Hundred_Runs-197-20200611-02:16:30-44452,1e-7,100,97,Exercise6.client.pppg$o[0].channel,708642.10272405
Hundred_Runs-253-20200611-02:18:01-44664,1e-7,1000,53,Exercise6.client.pppg$o[0].channel,768981.08405865
Hundred_Runs-296-20200611-02:19:22-45065,1e-7,1000,96,Exercise6.client.pppg$o[0].channel,769742.80885929
Hundred_Runs-180-20200611-02:16:26-44446,1e-7,100,80,Exercise6.client.pppg$o[0].channel,640872.53870855
