Q1,0.071123577,,,Condition,Group,Color
Q3,0.130871762,,,Y <= 0.15,A,Blue
IQR,0.059748184,,,Y > 0.15,B,Red
Lower Bound,-0.018498699,,,,,
Upper Bound,0.220494038,,,,,
,,,,,,
Time,E2E Delay,OUTLIER?,,Group,A,B
425.5341178,0.09,No,No,A,0.094117824,#N/A
425.5792678,0.10,No,No,A,0.099267824,#N/A
425.6138688,0.09,No,No,A,0.093868824,#N/A
425.6590188,0.10,No,No,A,0.099018824,#N/A
425.7011548,0.10,No,No,A,0.101154824,#N/A
425.7372628,0.10,No,No,A,0.097262824,#N/A
425.7733708,0.09,No,No,A,0.093370824,#N/A
425.8155068,0.10,No,No,A,0.095506824,#N/A
425.8606568,0.10,No,No,A,0.100656824,#N/A
425.8952578,0.10,No,No,A,0.095257824,#N/A
425.9373938,0.10,No,No,A,0.097393824,#N/A
425.9765158,0.10,No,No,A,0.096515824,#N/A
426.0171448,0.10,No,No,A,0.097144824,#N/A
426.0592808,0.10,No,No,A,0.099280824,#N/A
426.0999098,0.10,No,No,A,0.099909824,#N/A
426.1375248,0.10,No,No,A,0.097524824,#N/A
426.1751398,0.10,No,No,A,0.095139824,#N/A
426.2217968,0.10,No,No,A,0.101796824,#N/A
426.2594118,0.10,No,No,A,0.099411824,#N/A
426.2894918,0.09,No,No,A,0.089491824,#N/A
426.3376558,0.10,No,No,A,0.097655824,#N/A
426.3812988,0.10,No,No,A,0.101298824,#N/A
426.4113788,0.09,No,No,A,0.091378824,#N/A
426.4369378,0.08,No,No,A,0.076937824,#N/A
426.4760598,0.08,No,No,A,0.076059824,#N/A
426.5302518,0.09,No,No,A,0.090251824,#N/A
426.5543038,0.07,No,No,A,0.074303824,#N/A
426.5828244,0.06,No,No,A,0.062824435,#N/A
426.6236064,0.06,No,No,A,0.06360637,#N/A
426.6649829,0.06,No,No,A,0.064982919,#N/A
426.7191749,0.08,No,No,A,0.079174919,#N/A
426.7424554,0.06,No,No,A,0.062455439,#N/A
426.7859425,0.07,No,No,A,0.065942521,#N/A
426.8247877,0.06,No,No,A,0.064787658,#N/A
426.8813983,0.08,No,No,A,0.081398295,#N/A
426.9370973,0.10,No,No,A,0.097097295,#N/A
426.9958103,0.12,No,No,A,0.115810295,#N/A
427.0213693,0.10,No,No,A,0.101369295,#N/A
427.0710403,0.11,No,No,A,0.111040295,#N/A
427.1086553,0.11,No,No,A,0.108655295,#N/A
427.1462703,0.11,No,No,A,0.106270295,#N/A
427.1853923,0.11,No,No,A,0.105392295,#N/A
427.2275283,0.11,No,No,A,0.107528295,#N/A
427.2696643,0.11,No,No,A,0.109664295,#N/A
427.3118003,0.11,No,No,A,0.111800295,#N/A
427.3494153,0.11,No,No,A,0.109415295,#N/A
427.3915513,0.11,No,No,A,0.111551295,#N/A
427.4336873,0.11,No,No,A,0.113687295,#N/A
427.4697953,0.11,No,No,A,0.109795295,#N/A
427.5104243,0.11,No,No,A,0.110424295,#N/A
427.5510533,0.11,No,No,A,0.111053295,#N/A
427.5901753,0.11,No,No,A,0.110175295,#N/A
427.6323113,0.11,No,No,A,0.112311295,#N/A
427.6714333,0.11,No,No,A,0.111433295,#N/A
427.7150763,0.12,No,No,A,0.115076295,#N/A
427.7526913,0.11,No,No,A,0.112691295,#N/A
427.7963343,0.12,No,No,A,0.116334295,#N/A
427.8339493,0.11,No,No,A,0.113949295,#N/A
427.8715643,0.11,No,No,A,0.111564295,#N/A
427.9152073,0.12,No,No,A,0.115207295,#N/A
427.9558363,0.12,No,No,A,0.115836295,#N/A
427.9964653,0.12,No,No,A,0.116465295,#N/A
428.0355873,0.12,No,No,A,0.115587295,#N/A
428.0747093,0.11,No,No,A,0.114709295,#N/A
428.1138313,0.11,No,No,A,0.113831295,#N/A
428.1544603,0.11,No,No,A,0.114460295,#N/A
428.1965963,0.12,No,No,A,0.116596295,#N/A
428.2357183,0.12,No,No,A,0.115718295,#N/A
428.2763473,0.12,No,No,A,0.116347295,#N/A
428.3169763,0.12,No,No,A,0.116976295,#N/A
428.3560983,0.12,No,No,A,0.116098295,#N/A
428.3997413,0.12,No,No,A,0.119741295,#N/A
428.4358493,0.12,No,No,A,0.115849295,#N/A
428.4794923,0.12,No,No,A,0.119492295,#N/A
428.5201213,0.12,No,No,A,0.120121295,#N/A
428.5592433,0.12,No,No,A,0.119243295,#N/A
428.5983653,0.12,No,No,A,0.118365295,#N/A
428.6359803,0.12,No,No,A,0.115980295,#N/A
428.6796233,0.12,No,No,A,0.119623295,#N/A
428.7247733,0.12,No,No,A,0.124773295,#N/A
428.7533463,0.11,No,No,A,0.113346295,#N/A
428.8015103,0.12,No,No,A,0.121510295,#N/A
428.8406323,0.12,No,No,A,0.120632295,#N/A
428.8767403,0.12,No,No,A,0.116740295,#N/A
428.9143553,0.11,No,No,A,0.114355295,#N/A
428.9625193,0.12,No,No,A,0.122519295,#N/A
429.0031483,0.12,No,No,A,0.123148295,#N/A
429.0362423,0.12,No,No,A,0.116242295,#N/A
429.0828993,0.12,No,No,A,0.122899295,#N/A
429.1235283,0.12,No,No,A,0.123528295,#N/A
429.1581293,0.12,No,No,A,0.118129295,#N/A
429.2032793,0.12,No,No,A,0.123279295,#N/A
429.2439083,0.12,No,No,A,0.123908295,#N/A
429.2860443,0.13,No,No,A,0.126044295,#N/A
429.3251663,0.13,No,No,A,0.125166295,#N/A
429.3627813,0.12,No,No,A,0.122781295,#N/A
429.4079313,0.13,No,No,A,0.127931295,#N/A
429.4455463,0.13,No,No,A,0.125546295,#N/A
429.4861753,0.13,No,No,A,0.126175295,#N/A
429.5268043,0.13,No,No,A,0.126804295,#N/A
429.5659263,0.13,No,No,A,0.125926295,#N/A
429.6080623,0.13,No,No,A,0.128062295,#N/A
429.6501983,0.13,No,No,A,0.130198295,#N/A
429.6878133,0.13,No,No,A,0.127813295,#N/A
429.7299493,0.13,No,No,A,0.129949295,#N/A
429.7675643,0.13,No,No,A,0.127564295,#N/A
429.8112073,0.13,No,No,A,0.131207295,#N/A
429.8503293,0.13,No,No,A,0.130329295,#N/A
429.8894513,0.13,No,No,A,0.129451295,#N/A
429.9330943,0.13,No,No,A,0.133094295,#N/A
429.9692023,0.13,No,No,A,0.129202295,#N/A
430.0128453,0.13,No,No,A,0.132845295,#N/A
430.0519673,0.13,No,No,A,0.131967295,#N/A
430.0910893,0.13,No,No,A,0.131089295,#N/A
430.1332253,0.13,No,No,A,0.133225295,#N/A
430.1723473,0.13,No,No,A,0.132347295,#N/A
430.2114693,0.13,No,No,A,0.131469295,#N/A
430.2520983,0.13,No,No,A,0.132098295,#N/A
430.2927273,0.13,No,No,A,0.132727295,#N/A
430.3318493,0.13,No,No,A,0.131849295,#N/A
430.3724783,0.13,No,No,A,0.132478295,#N/A
430.4131073,0.13,No,No,A,0.133107295,#N/A
430.4537363,0.13,No,No,A,0.133736295,#N/A
430.4943653,0.13,No,No,A,0.134365295,#N/A
430.5334873,0.13,No,No,A,0.133487295,#N/A
430.5756233,0.14,No,No,A,0.135623295,#N/A
430.6147453,0.13,No,No,A,0.134745295,#N/A
430.6553743,0.14,No,No,A,0.135374295,#N/A
430.6944963,0.13,No,No,A,0.134496295,#N/A
430.7336183,0.13,No,No,A,0.133618295,#N/A
430.7757543,0.14,No,No,A,0.135754295,#N/A
430.8163833,0.14,No,No,A,0.136383295,#N/A
430.8570123,0.14,No,No,A,0.137012295,#N/A
430.8991483,0.14,No,No,A,0.139148295,#N/A
430.9382703,0.14,No,No,A,0.138270295,#N/A
430.9758853,0.14,No,No,A,0.135885295,#N/A
431.0165143,0.14,No,No,A,0.136514295,#N/A
431.0571433,0.14,No,No,A,0.137143295,#N/A
431.0992793,0.14,No,No,A,0.139279295,#N/A
431.1384013,0.14,No,No,A,0.138401295,#N/A
431.1805373,0.14,No,No,A,0.140537295,#N/A
431.2196593,0.14,No,No,A,0.139659295,#N/A
431.2602883,0.14,No,No,A,0.140288295,#N/A
431.2994103,0.14,No,No,A,0.139410295,#N/A
431.3430533,0.14,No,No,A,0.143053295,#N/A
431.3821753,0.14,No,No,A,0.142175295,#N/A
431.4197903,0.14,No,No,A,0.139790295,#N/A
431.4619263,0.14,No,No,A,0.141926295,#N/A
431.5010483,0.14,No,No,A,0.141048295,#N/A
431.5446913,0.14,No,No,A,0.144691295,#N/A
431.5838133,0.14,No,No,A,0.143813295,#N/A
431.6229353,0.14,No,No,A,0.142935295,#N/A
431.6605503,0.14,No,No,A,0.140550295,#N/A
431.7011793,0.14,No,No,A,0.141179295,#N/A
431.7418083,0.14,No,No,A,0.141808295,#N/A
431.7854513,0.15,No,No,A,0.145451295,#N/A
431.8230663,0.14,No,No,A,0.143066295,#N/A
431.8636953,0.14,No,No,A,0.143695295,#N/A
431.9013103,0.14,No,No,A,0.141310295,#N/A
431.9434463,0.14,No,No,A,0.143446295,#N/A
431.9870893,0.15,No,No,A,0.147089295,#N/A
432.0247043,0.14,No,No,A,0.144704295,#N/A
432.0638263,0.14,No,No,A,0.143826295,#N/A
432.1029483,0.14,No,No,A,0.142948295,#N/A
432.1420703,0.14,No,No,A,0.142070295,#N/A
432.1857133,0.15,No,No,A,0.145713295,#N/A
432.2293563,0.15,No,No,A,0.149356295,#N/A
432.2654643,0.15,No,No,A,0.145464295,#N/A
432.3060933,0.15,No,No,A,0.146093295,#N/A
432.3482293,0.15,No,No,A,0.148229295,#N/A
432.3858443,0.15,No,No,A,0.145844295,#N/A
432.4294873,0.15,No,No,A,0.149487295,#N/A
432.4701163,0.15,No,No,B,#N/A,0.150116295
432.5062243,0.15,No,No,A,0.146224295,#N/A
432.5468533,0.15,No,No,A,0.146853295,#N/A
432.5874823,0.15,No,No,A,0.147482295,#N/A
432.6296183,0.15,No,No,A,0.149618295,#N/A
432.6717543,0.15,No,No,B,#N/A,0.151754295
432.7093693,0.15,No,No,A,0.149369295,#N/A
432.7499983,0.15,No,No,A,0.149998295,#N/A
432.7770643,0.14,No,No,A,0.137064295,#N/A
432.8207073,0.14,No,No,A,0.140707295,#N/A
432.8673643,0.15,No,No,A,0.147364295,#N/A
432.8989513,0.14,No,No,A,0.138951295,#N/A
432.9230033,0.12,No,No,A,0.123003295,#N/A
432.9545903,0.11,No,No,A,0.114590295,#N/A
433.0148103,0.13,No,No,A,0.134810295,#N/A
433.0358483,0.12,No,No,A,0.115848295,#N/A
433.0553793,0.10,No,No,A,0.095379295,#N/A
433.0794313,0.08,No,No,A,0.079431295,#N/A
433.1034833,0.06,No,No,A,0.063483295,#N/A
433.1593984,0.08,No,No,A,0.079398352,#N/A
433.1830403,0.06,No,No,A,0.063040304,#N/A
433.2307019,0.07,No,No,A,0.070701909,#N/A
433.2668099,0.07,No,No,A,0.066809909,#N/A
433.309119,0.07,No,No,A,0.06911901,#N/A
433.361804,0.08,No,No,A,0.08180401,#N/A
433.423531,0.10,No,No,A,0.10353101,#N/A
433.489779,0.13,No,No,A,0.12977901,#N/A
433.546985,0.15,No,No,A,0.14698501,#N/A
433.589121,0.15,No,No,A,0.14912101,#N/A
433.634271,0.15,No,No,B,#N/A,0.15427101
433.673393,0.15,No,No,B,#N/A,0.15339301
433.714022,0.15,No,No,B,#N/A,0.15402201
433.754651,0.15,No,No,B,#N/A,0.15465101
433.799801,0.16,No,No,B,#N/A,0.15980101
433.834402,0.15,No,No,B,#N/A,0.15440201
433.875031,0.16,No,No,B,#N/A,0.15503101
433.917167,0.16,No,No,B,#N/A,0.15716701
433.953275,0.15,No,No,B,#N/A,0.15327501
433.998425,0.16,No,No,B,#N/A,0.15842501
434.040561,0.16,No,No,B,#N/A,0.16056101
434.073655,0.15,No,No,B,#N/A,0.15365501
434.115791,0.16,No,No,B,#N/A,0.15579101
434.157927,0.16,No,No,B,#N/A,0.15792701
434.195542,0.16,No,No,B,#N/A,0.15554201
434.240692,0.16,No,No,B,#N/A,0.16069201
434.278307,0.16,No,No,B,#N/A,0.15830701
434.317429,0.16,No,No,B,#N/A,0.15742901
434.359565,0.16,No,No,B,#N/A,0.15956501
434.400194,0.16,No,No,B,#N/A,0.16019401
434.437809,0.16,No,No,B,#N/A,0.15780901
434.479945,0.16,No,No,B,#N/A,0.15994501
434.516053,0.16,No,No,B,#N/A,0.15605301
434.558189,0.16,No,No,B,#N/A,0.15818901
434.598818,0.16,No,No,B,#N/A,0.15881801
434.639447,0.16,No,No,B,#N/A,0.15944701
434.651443,0.13,No,No,A,0.13144301,#N/A
434.65289,0.09,No,No,A,0.09289001,#N/A
434.6633951,0.06,No,No,A,0.063395057,#N/A
434.7077684,0.07,No,No,A,0.067768382,#N/A
434.7481566,0.07,No,No,A,0.068156632,#N/A
434.7887856,0.07,No,No,A,0.068785632,#N/A
434.8238486,0.06,No,No,A,0.063848596,#N/A
434.869549,0.07,No,No,A,0.069549043,#N/A
434.9081245,0.07,No,No,A,0.068124465,#N/A
434.9502605,0.07,No,No,A,0.070260465,#N/A
434.9860414,0.07,No,No,A,0.066041382,#N/A
435.0249217,0.06,No,No,A,0.064921705,#N/A
435.0677445,0.07,No,No,A,0.067744465,#N/A
435.1083735,0.07,No,No,A,0.068373465,#N/A
435.1463614,0.07,No,No,A,0.066361382,#N/A
435.1868584,0.07,No,No,A,0.06685845,#N/A
435.2254558,0.07,No,No,A,0.065455785,#N/A
435.2690988,0.07,No,No,A,0.069098785,#N/A
435.3065311,0.07,No,No,A,0.066531127,#N/A
435.3427715,0.06,No,No,A,0.06277154,#N/A
435.3909355,0.07,No,No,A,0.07093554,#N/A
435.4270435,0.07,No,No,A,0.06704354,#N/A
435.4631689,0.06,No,No,A,0.063168942,#N/A
435.5105224,0.07,No,No,A,0.070522382,#N/A
435.5424422,0.06,No,No,A,0.062442166,#N/A
435.5875922,0.07,No,No,A,0.067592166,#N/A
435.6243505,0.06,No,No,A,0.064350465,#N/A
435.6669456,0.07,No,No,A,0.066945639,#N/A
435.7094604,0.07,No,No,A,0.069460351,#N/A
435.7485824,0.07,No,No,A,0.068582351,#N/A
435.7846904,0.06,No,No,A,0.064690351,#N/A
435.825456,0.07,No,No,A,0.065456032,#N/A
435.869099,0.07,No,No,A,0.069099032,#N/A
435.906714,0.07,No,No,A,0.066714032,#N/A
435.9438188,0.06,No,No,A,0.063818805,#N/A
435.9861975,0.07,No,No,A,0.066197465,#N/A
436.0223346,0.06,No,No,A,0.062334627,#N/A
436.0659776,0.07,No,No,A,0.065977627,#N/A
436.1023346,0.06,No,No,A,0.062334627,#N/A
436.1435485,0.06,No,No,A,0.063548519,#N/A
436.1860913,0.07,No,No,A,0.066091254,#N/A
436.2250247,0.07,No,No,A,0.065024682,#N/A
436.2706675,0.07,No,No,A,0.070667465,#N/A
436.3038555,0.06,No,No,A,0.063855464,#N/A
436.3424062,0.06,No,No,A,0.062406217,#N/A
436.3864591,0.07,No,No,A,0.066459122,#N/A
436.4225671,0.06,No,No,A,0.062567122,#N/A
436.4642783,0.06,No,No,A,0.064278294,#N/A
436.5025784,0.06,No,No,A,0.062578391,#N/A
436.5434665,0.06,No,No,A,0.063466472,#N/A
436.5823346,0.06,No,No,A,0.062334627,#N/A
436.6257236,0.07,No,No,A,0.065723612,#N/A
436.6623647,0.06,No,No,A,0.062364749,#N/A
436.7039532,0.06,No,No,A,0.063953195,#N/A
436.7436057,0.06,No,No,A,0.063605675,#N/A
436.783097,0.06,No,No,A,0.063097018,#N/A
436.829754,0.07,No,No,A,0.069754018,#N/A
436.889974,0.09,No,No,A,0.089974018,#N/A
436.909505,0.07,No,No,A,0.069505018,#N/A
436.9455023,0.07,No,No,A,0.065502296,#N/A
436.9906523,0.07,No,No,A,0.070652296,#N/A
437.0297743,0.07,No,No,A,0.069774296,#N/A
437.0688963,0.07,No,No,A,0.068896296,#N/A
437.1110323,0.07,No,No,A,0.071032296,#N/A
437.1531683,0.07,No,No,A,0.073168296,#N/A
437.1877693,0.07,No,No,A,0.067769296,#N/A
437.2314123,0.07,No,No,A,0.071412296,#N/A
437.2705343,0.07,No,No,A,0.070534296,#N/A
437.3096563,0.07,No,No,A,0.069656296,#N/A
437.3532993,0.07,No,No,A,0.073299296,#N/A
437.3879003,0.07,No,No,A,0.067900296,#N/A
437.4240083,0.06,No,No,A,0.064008296,#N/A
437.4721723,0.07,No,No,A,0.072172296,#N/A
437.5143083,0.07,No,No,A,0.074308296,#N/A
437.5489093,0.07,No,No,A,0.068909296,#N/A
437.5925523,0.07,No,No,A,0.072552296,#N/A
437.6331813,0.07,No,No,A,0.073181296,#N/A
437.6692893,0.07,No,No,A,0.069289296,#N/A
437.7129323,0.07,No,No,A,0.072932296,#N/A
437.7550683,0.08,No,No,A,0.075068296,#N/A
437.7911763,0.07,No,No,A,0.071176296,#N/A
437.8318053,0.07,No,No,A,0.071805296,#N/A
437.8754483,0.08,No,No,A,0.075448296,#N/A
437.9115563,0.07,No,No,A,0.071556296,#N/A
437.9491713,0.07,No,No,A,0.069171296,#N/A
437.9973353,0.08,No,No,A,0.077335296,#N/A
438.0394713,0.08,No,No,A,0.079471296,#N/A
438.0725653,0.07,No,No,A,0.072565296,#N/A
438.1192223,0.08,No,No,A,0.079222296,#N/A
438.1553303,0.08,No,No,A,0.075330296,#N/A
438.1929453,0.07,No,No,A,0.072945296,#N/A
438.2380953,0.08,No,No,A,0.078095296,#N/A
438.2772173,0.08,No,No,A,0.077217296,#N/A
438.3193533,0.08,No,No,A,0.079353296,#N/A
438.3479263,0.07,No,No,A,0.067926296,#N/A
438.3900623,0.07,No,No,A,0.070062296,#N/A
438.4321983,0.07,No,No,A,0.072198296,#N/A
438.4667993,0.07,No,No,A,0.066799296,#N/A
438.5046085,0.06,No,No,A,0.064608518,#N/A
438.5485467,0.07,No,No,A,0.068546744,#N/A
438.5891757,0.07,No,No,A,0.069175744,#N/A
438.6225175,0.06,No,No,A,0.06251747,#N/A
438.6633397,0.06,No,No,A,0.063339731,#N/A
438.7042804,0.06,No,No,A,0.064280377,#N/A
438.7484058,0.07,No,No,A,0.068405834,#N/A
438.8116398,0.09,No,No,A,0.091639834,#N/A
438.8341848,0.07,No,No,A,0.074184834,#N/A
438.8627578,0.06,No,No,A,0.062757794,#N/A
438.9023346,0.06,No,No,A,0.062334627,#N/A
438.9480309,0.07,No,No,A,0.068030858,#N/A
438.9901669,0.07,No,No,A,0.070166858,#N/A
439.0579219,0.10,No,No,A,0.097921858,#N/A
439.0774529,0.08,No,No,A,0.077452858,#N/A
439.1150679,0.08,No,No,A,0.075067858,#N/A
439.1511759,0.07,No,No,A,0.071175858,#N/A
439.1993399,0.08,No,No,A,0.079339858,#N/A
439.2414759,0.08,No,No,A,0.081475858,#N/A
439.2640209,0.06,No,No,A,0.064020858,#N/A
439.3031392,0.06,No,No,A,0.063139197,#N/A
439.3724012,0.09,No,No,A,0.092401197,#N/A
439.4085092,0.09,No,No,A,0.088509197,#N/A
439.4238444,0.06,No,No,A,0.063844428,#N/A
439.4628346,0.06,No,No,A,0.062834632,#N/A
439.5038891,0.06,No,No,A,0.063889083,#N/A
439.5575197,0.08,No,No,A,0.077519737,#N/A
439.5848702,0.06,No,No,A,0.064870158,#N/A
439.6237659,0.06,No,No,A,0.06376594,#N/A
439.6676562,0.07,No,No,A,0.067656225,#N/A
439.7034935,0.06,No,No,A,0.06349347,#N/A
439.7499304,0.07,No,No,A,0.069930405,#N/A
439.8086434,0.09,No,No,A,0.088643405,#N/A
439.8733844,0.11,No,No,A,0.113384405,#N/A
439.9004504,0.10,No,No,A,0.100450405,#N/A
439.9305304,0.09,No,No,A,0.090530405,#N/A
439.9786944,0.10,No,No,A,0.098694405,#N/A
440.0178164,0.10,No,No,A,0.097816405,#N/A
440.0554314,0.10,No,No,A,0.095431405,#N/A
440.0945534,0.09,No,No,A,0.094553405,#N/A
440.1351824,0.10,No,No,A,0.095182405,#N/A
440.1743044,0.09,No,No,A,0.094304405,#N/A
440.2194544,0.10,No,No,A,0.099454405,#N/A
440.2585764,0.10,No,No,A,0.098576405,#N/A
440.2946844,0.09,No,No,A,0.094684405,#N/A
440.3368204,0.10,No,No,A,0.096820405,#N/A
440.3774494,0.10,No,No,A,0.097449405,#N/A
440.4195854,0.10,No,No,A,0.099585405,#N/A
440.4602144,0.10,No,No,A,0.100214405,#N/A
440.4993364,0.10,No,No,A,0.099336405,#N/A
440.5384584,0.10,No,No,A,0.098458405,#N/A
440.5790874,0.10,No,No,A,0.099087405,#N/A
440.6212234,0.10,No,No,A,0.101223405,#N/A
440.6588384,0.10,No,No,A,0.098838405,#N/A
440.7009744,0.10,No,No,A,0.100974405,#N/A
440.7416034,0.10,No,No,A,0.101603405,#N/A
440.7822324,0.10,No,No,A,0.102232405,#N/A
440.8213544,0.10,No,No,A,0.101354405,#N/A
440.8604764,0.10,No,No,A,0.100476405,#N/A
440.9026124,0.10,No,No,A,0.102612405,#N/A
440.9432414,0.10,No,No,A,0.103241405,#N/A
440.9838704,0.10,No,No,A,0.103870405,#N/A
441.0229924,0.10,No,No,A,0.102992405,#N/A
441.0636214,0.10,No,No,A,0.103621405,#N/A
441.1042504,0.10,No,No,A,0.104250405,#N/A
441.1463864,0.11,No,No,A,0.106386405,#N/A
441.1840014,0.10,No,No,A,0.104001405,#N/A
441.2261374,0.11,No,No,A,0.106137405,#N/A
441.2637524,0.10,No,No,A,0.103752405,#N/A
441.3089024,0.11,No,No,A,0.108902405,#N/A
441.3465174,0.11,No,No,A,0.106517405,#N/A
441.3871464,0.11,No,No,A,0.107146405,#N/A
441.4277754,0.11,No,No,A,0.107775405,#N/A
441.4638834,0.10,No,No,A,0.103883405,#N/A
441.5105404,0.11,No,No,A,0.110540405,#N/A
441.5496624,0.11,No,No,A,0.109662405,#N/A
441.5857704,0.11,No,No,A,0.105770405,#N/A
441.6279064,0.11,No,No,A,0.107906405,#N/A
441.6700424,0.11,No,No,A,0.110042405,#N/A
441.7106714,0.11,No,No,A,0.110671405,#N/A
441.7467794,0.11,No,No,A,0.106779405,#N/A
441.7874084,0.11,No,No,A,0.107408405,#N/A
441.8310514,0.11,No,No,A,0.111051405,#N/A
441.8701734,0.11,No,No,A,0.110173405,#N/A
441.9092954,0.11,No,No,A,0.109295405,#N/A
441.9499244,0.11,No,No,A,0.109924405,#N/A
441.9784974,0.10,No,No,A,0.098497405,#N/A
442.0236474,0.10,No,No,A,0.103647405,#N/A
442.0718114,0.11,No,No,A,0.111811405,#N/A
442.1003844,0.10,No,No,A,0.100384405,#N/A
442.1229294,0.08,No,No,A,0.082929405,#N/A
442.1605444,0.08,No,No,A,0.080544405,#N/A
442.2192574,0.10,No,No,A,0.099257405,#N/A
442.2402954,0.08,No,No,A,0.080295405,#N/A
442.2646302,0.06,No,No,A,0.064630163,#N/A
442.3042157,0.06,No,No,A,0.064215718,#N/A
442.3459195,0.07,No,No,A,0.065919466,#N/A
442.3925765,0.07,No,No,A,0.072576466,#N/A
442.4225052,0.06,No,No,A,0.062505231,#N/A
442.4633316,0.06,No,No,A,0.063331648,#N/A
442.5040131,0.06,No,No,A,0.064013114,#N/A
442.5462444,0.07,No,No,A,0.066244391,#N/A
442.5938945,0.07,No,No,A,0.07389449,#N/A
442.6601425,0.10,No,No,A,0.10014249,#N/A
442.7173485,0.12,No,No,A,0.11734849,#N/A
442.7579775,0.12,No,No,A,0.11797749,#N/A
442.7940855,0.11,No,No,A,0.11408549,#N/A
442.8347145,0.11,No,No,A,0.11471449,#N/A
442.8738365,0.11,No,No,A,0.11383649,#N/A
442.9189865,0.12,No,No,A,0.11898649,#N/A
442.9581085,0.12,No,No,A,0.11810849,#N/A
442.9927095,0.11,No,No,A,0.11270949,#N/A
443.0363525,0.12,No,No,A,0.11635249,#N/A
443.0769815,0.12,No,No,A,0.11698149,#N/A
443.1191175,0.12,No,No,A,0.11911749,#N/A
443.1612535,0.12,No,No,A,0.12125349,#N/A
443.2003755,0.12,No,No,A,0.12037549,#N/A
443.2379905,0.12,No,No,A,0.11799049,#N/A
443.2801265,0.12,No,No,A,0.12012649,#N/A
443.3222625,0.12,No,No,A,0.12226249,#N/A
443.3659055,0.13,No,No,A,0.12590549,#N/A
443.4035205,0.12,No,No,A,0.12352049,#N/A
443.4441495,0.12,No,No,A,0.12414949,#N/A
443.4832715,0.12,No,No,A,0.12327149,#N/A
443.5223935,0.12,No,No,A,0.12239349,#N/A
443.5630225,0.12,No,No,A,0.12302249,#N/A
443.6066655,0.13,No,No,A,0.12666549,#N/A
443.6457875,0.13,No,No,A,0.12578749,#N/A
443.6818955,0.12,No,No,A,0.12189549,#N/A
443.7255385,0.13,No,No,A,0.12553849,#N/A
443.7646605,0.12,No,No,A,0.12466049,#N/A
443.8052895,0.13,No,No,A,0.12528949,#N/A
443.8474255,0.13,No,No,A,0.12742549,#N/A
443.8820265,0.12,No,No,A,0.12202649,#N/A
443.9286835,0.13,No,No,A,0.12868349,#N/A
443.9662985,0.13,No,No,A,0.12629849,#N/A
444.0099415,0.13,No,No,A,0.12994149,#N/A
444.0505705,0.13,No,No,A,0.13057049,#N/A
444.0866785,0.13,No,No,A,0.12667849,#N/A
444.1227865,0.12,No,No,A,0.12278649,#N/A
444.1679365,0.13,No,No,A,0.12793649,#N/A
444.2070585,0.13,No,No,A,0.12705849,#N/A
444.2446735,0.12,No,No,A,0.12467349,#N/A
444.2868095,0.13,No,No,A,0.12680949,#N/A
444.3274385,0.13,No,No,A,0.12743849,#N/A
444.3665605,0.13,No,No,A,0.12656049,#N/A
444.4132175,0.13,No,No,A,0.13321749,#N/A
444.4493255,0.13,No,No,A,0.12932549,#N/A
444.4884475,0.13,No,No,A,0.12844749,#N/A
444.5275695,0.13,No,No,A,0.12756949,#N/A
444.5697055,0.13,No,No,A,0.12970549,#N/A
444.6133485,0.13,No,No,A,0.13334849,#N/A
444.6524705,0.13,No,No,A,0.13247049,#N/A
444.6915925,0.13,No,No,A,0.13159249,#N/A
444.7277005,0.13,No,No,A,0.12770049,#N/A
444.7698365,0.13,No,No,A,0.12983649,#N/A
444.8104655,0.13,No,No,A,0.13046549,#N/A
444.8495875,0.13,No,No,A,0.12958749,#N/A
444.8902165,0.13,No,No,A,0.13021649,#N/A
444.9338595,0.13,No,No,A,0.13385949,#N/A
444.9744885,0.13,No,No,A,0.13448849,#N/A
445.0045685,0.12,No,No,A,0.12456849,#N/A
445.0542395,0.13,No,No,A,0.13423949,#N/A
445.0948685,0.13,No,No,A,0.13486849,#N/A
445.1294695,0.13,No,No,A,0.12946949,#N/A
445.1716055,0.13,No,No,A,0.13160549,#N/A
445.2137415,0.13,No,No,A,0.13374149,#N/A
445.2528635,0.13,No,No,A,0.13286349,#N/A
445.2874645,0.13,No,No,A,0.12746449,#N/A
445.3356285,0.14,No,No,A,0.13562849,#N/A
445.3732435,0.13,No,No,A,0.13324349,#N/A
445.4048305,0.12,No,No,A,0.12483049,#N/A
445.4062775,0.09,No,No,A,0.08627749,#N/A
445.4249324,0.06,No,No,A,0.064932429,#N/A
445.4765537,0.08,No,No,A,0.076553684,#N/A
445.5277317,0.09,No,No,A,0.087731684,#N/A
445.5698677,0.09,No,No,A,0.089867684,#N/A
445.6074827,0.09,No,No,A,0.087482684,#N/A
445.6345487,0.07,No,No,A,0.074548684,#N/A
445.6902477,0.09,No,No,A,0.090247684,#N/A
445.7429327,0.10,No,No,A,0.102932684,#N/A
445.7941107,0.11,No,No,A,0.114110684,#N/A
445.8513167,0.13,No,No,A,0.131316684,#N/A
445.9024947,0.14,No,No,A,0.142494684,#N/A
445.9370957,0.14,No,No,A,0.137095684,#N/A
445.9792317,0.14,No,No,A,0.139231684,#N/A
446.0198607,0.14,No,No,A,0.139860684,#N/A
446.0604897,0.14,No,No,A,0.140489684,#N/A
446.1011187,0.14,No,No,A,0.141118684,#N/A
