" Exercise2.receive ($N=100, #0 - Normal-0-20200510-18:56:35-10764)",," Exercise2.receive ($N=1000, #0 - Normal-1-20200510-18:56:35-10764)",," Exercise2.receive ($N=10000, #0 - Normal-2-20200510-18:56:35-10764)",
0.394700982823,0.394700982822999922,0.603868860883,0.603868860882999844,0.542453143974,0.542453143973999905
0.983179061064,0.588478078240999955,1.249382024285,0.645513163401999931,1.063286047457,0.520832903482999929
1.568436128567,0.585257067502999992,1.750430344745,0.501048320460000028,1.682848777851,0.619562730393999891
2.140424799498,0.57198867093100003,2.335283118845,0.584852774100000025,2.076428039271,0.393579261419999991
2.565525274213,0.425100474715000008,2.840201276313,0.504918157467999949,2.531642379968,0.45521434069699995
2.957809502353,0.392284228139999967,3.30515315589,0.464951879577000014,3.082244515679,0.550602135711000025
3.426240662086,0.468431159732999977,3.756223778426,0.451070622535999941,3.560873515856,0.478629000176999939
4.123873544893,0.697632882806999974,4.211733093967,0.455509315540999935,4.16220964326,0.601336127403999885
4.587343351021,0.463469806127999926,4.804142327965,0.592409233998000048,4.578173863857,0.415964220596999999
4.989963625531,0.402620274509999929,5.374919356414,0.57077702844899991,5.025235954257,0.447062090399999998
5.55741067345,0.567447047918999911,5.834559348852,0.45963999243800002,5.583149389828,0.557913435571000035
5.935687715148,0.378277041698000025,6.184319640422,0.349760291569999991,6.033011979593,0.44986258976499993
6.334421723658,0.398734008509999958,6.62090891573,0.436589275307999955,6.479247965383,0.446235985790000009
6.951789325302,0.61736760164399995,7.147163916689,0.526255000958999905,6.876606825159,0.397358859775999937
7.43175254352,0.479963218217999919,7.624145937165,0.476982020476000022,7.364544537484,0.487937712324999937
7.906259464096,0.474506920575999967,8.251900859335,0.627754922169999837,7.855182224728,0.490637687243999918
8.392587250957,0.486327786860999975,8.651703699851,0.399802840516000011,8.167229519202,0.312047294473999924
9.074853428496,0.682266177538999981,9.035732255567,0.384028555715999917,8.569715126246,0.402485607043999935
9.68517619404,0.610322765543999998,9.586762103252,0.55102984768499996,9.155459208315,0.585744082068999858
10.323539288402,0.638363094362000002,10.098552170325,0.511790067073000007,9.695462008357,0.54000280004199985
10.55002690737,0.226487618967999958,10.560438923833,0.461886753508000011,10.160922290673,0.465460282316000004
11.106370223228,0.556343315858000006,11.145929855355,0.585490931522000043,10.652261214465,0.491338923791999946
11.496030757622,0.389660534393999944,11.718322945625,0.572393090269999846,11.23103612264,0.578774908174999988
11.920770694897,0.424739937274999921,12.065782037015,0.347459091389999973,11.749777566552,0.518741443911999943
12.411564904995,0.490794210097999947,12.701027030728,0.635244993713000025,12.197656939706,0.447879373153999946
12.787199356945,0.375634451950000001,13.302225803819,0.601198773091,12.574227220165,0.376570280458999982
13.233096994134,0.445897637188999994,13.822445114422,0.520219310602999971,13.086828699942,0.512601479776999989
13.746115169029,0.51301817489500001,14.318371366098,0.495926251676000016,13.592045278117,0.505216578174999984
14.341674310003,0.595559140973999976,14.875205365508,0.55683399941,14.029657240976,0.437611962858999945
14.739599355526,0.397925045523000007,15.276957130236,0.401751764728000003,14.575467898535,0.545810657559000043
15.27012996285,0.530530607323999923,15.73901454193,0.462057411693999939,14.999894674913,0.424426776377999968
15.755965091943,0.485835129092999971,16.189597397976,0.45058285604600001,15.434060399378,0.434165724465000011
16.27899130006,0.523026208116999844,16.475584723933,0.285987325956999937,15.853124887378,0.419064487999999955
16.864590803852,0.585599503791999873,17.015529340321,0.539944616387999951,16.383848469814,0.530723582435999928
17.355842017599,0.49125121374699998,17.47771526437,0.462185924048999938,16.82222092834,0.438372458525999928
17.93757549321,0.581733475610999969,18.032319350738,0.554604086367999957,17.247219101455,0.424998173114999986
18.461388928418,0.523813435207999943,18.563969298798,0.531649948059999875,17.924583848762,0.677364747306999912
18.856622439812,0.395233511393999979,18.902188518802,0.338219220003999952,18.52089512226,0.596311273497999836
19.552992597909,0.696370158096999866,19.420960685975,0.518772167172999896,19.056309106845,0.535413984584999889
19.909077600768,0.356085002859000019,19.802479600727,0.381518914751999947,19.649405768214,0.593096661368999853
20.337516753246,0.428439152478000017,20.142792349123,0.340312748396000007,19.891424647013,0.242018878798999968
20.925159172519,0.587642419272999868,20.592969012983,0.450176663859999991,20.41546796571,0.524043318696999935
21.550697916052,0.625538743532999983,21.016439414812,0.423470401828999974,21.125181116916,0.709713151205999978
22.085312016885,0.53461410083299987,21.547191128541,0.530751713728999872,21.588713496704,0.463532379787999992
22.50055557932,0.415243562434999933,22.088998986963,0.541807858421999853,22.081616044067,0.492902547362999986
23.071607003735,0.571051424415000006,22.482031831655,0.393032844691999947,22.619989467855,0.538373423788000013
23.528413172047,0.456806168311999936,23.162040754244,0.680008922589000028,23.055025057761,0.435035589905999995
24.02863968353,0.500226511483000011,23.730517457247,0.568476703003000013,23.385422209899,0.330397152138000025
