"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-7, #0 - Original_Task-0-20200525-19:54:53-11892)",
1,440
1.40088,582.491005653590035
1.401256,9186.04452005909839
1.813688,13744.37058634099955
1.825744,20256.94730477000116
2.22612,22029.36050167999922
2.238176,27297.22774258999552
2.250232,32508.64799718400157
2.262288,37664.5237034369928
2.638552,36862.6428434989938
2.650608,41243.36755944299502
2.662664,45584.42221774900082
2.67472,49886.3432434049899
2.686776,54149.65743329600065
2.698832,58374.88217124999185
2.710888,62562.52563735599665
2.722944,66713.08701170500705
3.050984,63491.64728494199505
3.06304,67177.7058086080068
3.075096,70834.86174090197875
3.087152,74463.4536945379803
3.099208,78063.81501338398065
3.111264,81636.2738745409876
3.12332,85181.1533880609783
3.135376,88698.7716943679841
3.147432,92189.442059430992
3.159488,95653.4729677719875
3.171544,99091.1682133369903
3.1836,102502.8269883199825
3.195656,105888.7439699399981
3.207712,109249.2094053299804
3.219768,112584.5091944499869
3.231824,115894.9249711599837
3.463416,111626.2094995199875
3.475472,114707.8727723899935
3.487528,117768.230104529997
3.499584,120807.5016916299933
3.51164,123825.9047054899853
3.523696,126823.653345809987
3.535752,129800.9588907799912
3.547808,132758.0297468199858
3.559864,135695.0714971100093
3.57192,138612.2869493199975
3.583976,141509.876182209991
3.596032,144388.0365914399732
3.608088,147246.9629343900012
3.620144,150086.847374029981
3.6322,152907.8795220499737
3.644256,155710.2464810399683
3.656312,158494.1328858099875
3.668368,161259.7209440299772
3.680424,164007.1904758799933
3.69248,166736.7189531199981
3.704536,169448.4815372299632
3.716592,172142.6511169399595
3.728648,174819.3983449199578
3.740704,177478.8916738699766
3.75276,180121.297391789965
3.764816,182746.7796566999745
3.875848,180622.1503010399751
3.887904,183162.958756180014
3.89996,185688.0583390599926
3.912016,188197.5942838700133
3.924072,190691.7100399800108
3.936128,193170.5472992699937
3.948184,195634.2460229799613
3.96024,198082.9444680099837
3.972296,200516.7792128300056
3.984352,202935.8851828399925
3.996408,205340.3956753200031
4.008464,207730.4423839199585
4.02052,210106.1554226799628
4.032576,212467.6633496799616
4.044632,214815.0931901799625
4.056688,217148.5704594500125
4.068744,219468.2191850899828
4.0808,221774.1619290299712
4.092856,224066.5198091499618
4.104912,226345.4125204099682
4.116968,228610.9583557599682
4.129024,230863.274226550012
4.14108,233102.475682669959
4.153136,235328.6769323199982
4.165192,237541.9908614099835
4.177248,239742.5290526199962
4.189304,241930.401804209977
4.20136,244105.7181484099705
4.213416,246268.5858695199707
4.225472,248419.1115217399777
4.237528,250557.400446679966
4.249584,252683.5567905000052
4.541456,237812.7190927299662
4.553512,239830.70649643999
4.565568,241838.0363626200115
4.577624,243834.7928969300115
4.58968,245821.0594202599597
4.601736,247796.918380370014
4.613792,249762.4513632199952
4.625848,251717.7391042700032
4.637904,253662.861499499995
4.64996,255597.897616319998
4.662016,257522.9257042399835
4.674072,259438.0232054599902
4.990056,245425.7026374099652
5.002112,247244.36398064997
5.014168,249054.2797927799975
5.026224,250855.5130053900057
5.03828,252648.1259477399862
5.050336,254432.1803539399985
5.062392,256207.7373699999875
5.074448,257974.8575608599925
5.086504,259733.6009172499752
5.4266,245677.2196218599562
5.438656,247349.3451323299662
5.450712,249014.0737576999807
5.462768,250671.4544714299837
5.474824,252321.5358155799905
5.48688,253964.365905579994
5.498936,255599.992434899962
5.863144,241778.8135512300062
5.8752,243334.6949891099932
5.887256,244884.2041181799717
5.899312,246427.3800063499945
5.911368,247964.2614027799565
6.299688,234593.2052508000047
6.311744,236055.2012248900127
6.3238,237511.6227584700095
6.724176,225162.4585674100085
6.736232,226549.2043623199563
7.136608,215528.7217680999885
7.148664,216851.708235269994
7.54904,206947.6383752099931
7.561096,208212.1427898799877
7.961472,199255.6150420400075
7.973528,200466.3431294200121
8.373904,192321.2876574699762
8.38596,193482.4396968299981
8.786336,186037.9571188699915
8.798392,187153.2889191599672
9.198768,180318.0599836799658
9.210824,181390.9374448999871
9.6112,175089.0627601100127
9.623256,176122.5098864699825
10.023632,170290.3697980899593
10.035688,171287.110559829976
10.436064,165870.9643789099641
10.44812,166833.459033779974
10.848496,161787.5878831499718
10.860552,162718.0644225099818
11.260928,158003.3190870200047
11.272984,158903.800448930007
11.28504,159802.3578117599825
11.67336,155519.2335368699853
11.685416,156390.4956400399672
11.697472,157259.9618105500118
11.709528,158127.6375956399712
11.721584,158993.5285196899781
11.73364,159857.6400844099693
12.085792,156197.2934831199813
12.097848,157038.1773683999776
12.109904,157877.3869718500058
12.12196,158714.9272889900016
12.134016,159550.8032954600053
12.146072,160385.0199471900118
12.158128,161217.5821804099828
12.170184,162048.4949118299987
12.18224,162877.7630386499801
12.194296,163705.3914387499676
12.206352,164531.3849707099721
12.218408,165355.7484739400093
12.498224,162618.3048087499913
12.51028,163425.2790505099688
12.522336,164230.6994477699622
12.534392,165034.5704841499678
12.546448,165836.8966260399897
12.558504,166637.6823226700066
12.57056,167436.9320062099718
12.582616,168234.6500918400121
12.594672,169030.8409778400087
12.606728,169825.5090456499597
12.618784,170618.6586599799916
12.63084,171410.2941688799762
12.642896,172200.4199037899957
12.654952,172989.0401796899965
12.667008,173776.1592950799965
12.679064,174561.7815321399825
12.69112,175345.9111567799696
12.703176,176128.5524187000113
12.715232,176909.7095514999812
12.727288,177689.3867727399915
12.739344,178467.5882839799737
12.7514,179244.3182709299721
12.910656,177967.0994254699903
12.922712,178733.9994886500058
12.934768,179499.4699556999835
12.946824,180263.5148203099956
12.95888,181026.1380613099893
12.970936,181787.3436427399858
12.982992,182547.1355139099753
12.995048,183305.5176094800112
13.007104,184062.4938495099772
13.01916,184818.0681395700078
13.031216,185572.2443707499765
13.043272,186325.0264197500066
13.055328,187076.4181489699981
13.067384,187826.4234065499618
13.07944,188575.0460264399877
13.091496,189322.2898284500108
13.103552,190068.1586183700121
13.115608,190812.6561879600043
13.127664,191555.7863150699988
13.13972,192297.5527636799957
13.151776,193037.9592839799582
13.163832,193777.0096123999678
13.175888,194514.707471709989
13.187944,195251.0565710599762
13.335144,193999.85481971997
13.46776,192834.4431442199852
13.479816,193556.351214290014
13.491872,194276.9691263000127
13.503928,194996.3003357200063
13.515984,195714.348285699961
13.52804,196431.1164071100058
13.540096,197146.6081185800133
13.552152,197860.8268266199735
13.564208,198573.7759255800041
13.576264,199285.4587978000047
13.58832,199995.8788135699575
13.600376,200705.0393312699737
13.747576,199432.9764025299806
13.759632,200134.4221996599806
13.91636,198746.798731849994
13.928416,199440.3383701299893
13.940472,200132.678434419969
13.952528,200823.8220342599665
13.964584,201513.7722684799803
13.988696,202028.2662515499971
14.000752,202715.3970015299847
14.012808,203401.3453977199963
14.160008,201995.3661043099706
14.340848,200288.8532114700058
14.401128,199546.5910725899733
14.413184,200216.1354493199608
14.42524,200884.5606728199632
14.570416,199710.4269363299821
14.75328,198052.229741449991
14.802888,198202.9452631099843
14.825616,198712.2828488199731
14.837672,199363.3502614200112
14.849728,200013.3605140799766
14.861784,200662.3161795400078
14.982848,199845.583429799997
15.165712,198230.8512781999883
15.21532,198376.8990727799822
15.238048,198872.1915037899738
15.250104,199505.5246836299768
15.26216,200137.8572888799821
15.274216,200769.1916887899853
15.286272,201399.5302451800085
15.39528,200756.5955279800103
15.578144,199173.9195631999751
15.627752,199313.1193789099921
15.65048,199793.9999284399668
15.662536,200409.946384159964
15.674592,201024.9453382900093
15.686648,201638.9989754299745
15.698704,202252.1094734999928
15.807712,201620.0700012799928
15.819768,202228.5029717200081
15.990576,200822.2843254699831
16.040184,200952.8070251599995
16.062912,201419.0204117399983
16.074968,202017.9449190800072
16.087024,202615.9717297599993
16.09908,203213.1028605399765
16.111136,203809.3403221199981
16.220144,203182.9063909699902
16.2322,203774.7193849299796
16.244256,204365.6539271500071
16.403008,203122.74431615998
16.452616,203243.058733029989
16.475344,203694.4418277399956
16.4874,204276.7204046699913
16.499456,204858.1480504599741
16.511512,205438.726629029959
16.523568,206018.4579988999753
16.632576,205393.0792199599668
16.644632,205968.6270023899846
16.656688,206543.3416294999765
16.81544,205310.3576237100053
16.827496,205879.7102076300065
16.865048,206136.1461882599972
16.887776,206572.6120479099913
16.899832,207138.6271768899745
16.911888,207703.8353139499663
16.923944,208268.2381837199785
16.936,208831.8375059000093
17.045008,208203.598379069997
17.057064,208763.2431935499766
17.06912,209322.0974484899775
17.227872,208093.0250700699976
17.239928,208646.8110539700133
17.251984,209199.8230464399671
17.27748,209588.8983810099883
17.300208,210010.4229960700026
17.312264,210560.5598435899585
17.32432,211109.9310102799783
17.336376,211658.5380935400022
17.348432,212206.3826863399585
17.45744,211571.9143242099665
17.469496,212116.022122219961
17.481552,212659.3794418299797
17.640304,211429.0093866899838
17.65236,211967.5782728199843
17.664416,212505.4120102199952
17.689912,212880.6519783699762
17.701968,213416.7229316000007
17.714024,213952.0641950099957
17.72608,214486.6772574599593
17.738136,215020.563603749964
17.750192,215553.7247146400033
17.762248,216086.162066869961
17.869872,215459.4056409599721
17.881928,215988.343091420014
17.893984,216516.5678028999822
18.052736,215280.3874160699775
18.064792,215804.0900775399635
18.076848,216327.0941925299696
18.102344,216688.4023417099956
18.1144,217209.7336925299597
18.126456,217730.3715629799985
18.138512,218250.317335839965
18.150568,218769.5723902399762
18.162624,219288.1381016299706
18.17468,219806.0158418199858
18.186736,220323.2069789799853
18.282304,219830.9359695599991
18.29436,220345.0680974900018
18.306416,220858.5230445999762
18.465168,219612.62415808998
18.477224,220121.8105057299828
18.48928,220630.3328198799858
18.514776,220977.666702529997
18.526832,221484.6013608800125
18.538888,221990.8766912000128
18.550944,222496.4939789599733
18.563,223001.4545062799585
18.575056,223505.7595519499731
18.587112,224009.4103914599976
18.599168,224512.4082969700096
18.611224,225014.7545373699971
18.694736,224654.4695790300025
18.706792,225154.1579122699907
18.718848,225653.2025902399902
18.8776,224394.2026528799902
18.889656,224889.2197930999676
18.901712,225383.605463890009
18.927208,225716.9678697499906
18.939264,226209.8463805099593
18.95132,226702.0977958299913
18.963376,227193.7233117099962
18.975432,227684.7241211700012
18.987488,228175.1014141499757
18.999544,228664.856377610005
19.0116,229153.9901954599765
19.023656,229642.5040486399658
19.035712,230130.3991150899668
19.107168,229900.736728749994
19.119224,230386.3378555499945
19.13128,230871.3269577400052
19.290032,229596.3013436199972
19.302088,230077.4921345299803
19.314144,230558.0822013099671
19.33964,230877.5137489599865
19.351696,231356.672820820007
19.363752,231835.2352374700125
19.375808,232313.2021126599857
19.387864,232790.57455735997
19.39992,233267.3536798100097
19.411976,233743.5405854599657
19.424032,234219.136377040005
19.436088,234694.1421545299812
19.448144,235168.5590151899952
19.4602,235642.3880535700002
19.5196,235542.9414537199765
19.531656,236014.8059130299945
19.543712,236486.0882108799987
19.702464,235192.5119619600002
19.71452,235660.21389310999
19.726576,236127.3441473100095
19.752072,236432.9170124499937
19.764128,236898.6883711699625
19.776184,237363.8918408100137
19.78824,237828.528459329972
19.800296,238292.599262150004
19.812352,238756.1052821999757
19.824408,239219.0475498699807
19.836464,239681.4270930499765
19.84852,240143.2449371499815
19.860576,240604.5021050699862
19.872632,241065.1996172399952
19.884688,241525.3384916099595
19.932032,241556.505628729995
19.944088,242014.9770698999632
19.956144,242472.8945632000097
