"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-6, #0 - Original_Task-1-20200525-19:54:53-11892)",
1,440
1.40088,582.491005653590035
1.401256,9186.04452005909839
4.40088,5664.32168111829922
4.813312,7683.690564833499565
4.825368,10162.95544712899934
5.225744,11691.34959538799736
5.2378,13966.16900225299828
5.638176,15112.68892634800062
5.650232,17214.16040969599993
5.662288,19306.68309347699682
6.050608,20060.13279987699928
6.062664,22008.80668959999452
6.07472,23949.74583190699915
6.086776,25882.9961871439954
6.46304,26241.52101797299827
6.475096,28054.56475085499542
6.487152,29860.86960811199962
6.499208,31660.4730914909959
6.511264,33453.41242499199862
6.875472,33434.79545840599157
6.887528,35126.68115468999887
6.899584,36812.65421219599365
6.91164,38492.74557123899275
6.923696,40166.9859566340018
6.935752,41835.40587956400115
7.287904,41468.1642348750028
7.29996,43051.19480106700205
7.312016,44629.00518817199905
7.324072,46201.6211746689949
7.336128,47769.06836958100015
7.348184,49331.37221386899165
7.36024,50888.55798180500265
7.700336,50206.6403336169895
7.712392,51691.35593730199605
7.724448,53171.43697517299725
7.736504,54646.9051137310014
7.74856,56117.7818846339941
7.760616,57584.0886857439908
7.772672,59045.8467821619996
8.112768,58056.63369148499605
8.124824,59454.33402618899685
8.13688,60847.89255832700275
8.148936,62237.3276707539915
8.160992,63622.65763769899765
8.173048,65003.90062556799955
8.185104,66381.07469373597975
8.19716,67754.1977953339808
8.5252,66561.2536949279891
8.537256,67879.42167834698905
8.549312,69193.8719747269931
8.561368,70504.6202896549946
8.573424,71811.6822403739786
8.58548,73115.073356410983
8.597536,74414.8090801829819
8.609592,75710.90476761298465
8.621648,77003.37568873100075
8.937632,75629.87601190098185
8.949688,76875.082125768007
8.961744,78116.93795314797875
8.9738,79355.45699703600235
8.985856,80590.65268795800485
8.997912,81822.5383844609894
9.009968,83051.12737359298605
9.022024,84276.4328713819848
9.03408,85498.468023306981
9.046136,86717.24590477099965
9.350064,85187.86609375098455
9.36212,86365.9085762629981
9.374176,87540.92093001000435
9.386232,88712.9148309989831
9.398288,89881.9018953240009
9.410344,91047.89367955099415
9.4224,92210.90168109998885
9.434456,93370.9373386229851
9.446512,94528.012032377999
9.458568,95682.137084599002
9.470624,96833.3237598709816
9.762496,95173.201607458002
9.774552,96289.2212348959872
9.786608,97402.4912410919785
9.798664,98513.0217752129825
9.81072,99620.8229365430012
9.822776,100725.9047747800064
9.834832,101828.2772903500005
9.846888,102927.9504347000035
9.858944,104024.9341105899945
9.871,105119.2381724199801
9.883056,106210.8724264999907
9.895112,107299.8466313499955
10.174928,105533.9163087899794
10.186984,106592.4909668999895
10.19904,107648.5630020099922
10.211096,108702.1412784699931
10.223152,109753.2346188299994
10.235208,110801.8518040899941
10.247264,111848.001573879999
10.25932,112891.6926267999801
10.271376,113932.933620580006
10.283432,114971.7331723499806
10.295488,116008.0998588899962
10.307544,117042.0422168499786
10.3196,118073.5687429700045
10.58736,116226.1413610199813
10.599416,117231.36444497999
10.611472,118234.3034029599798
10.623528,119234.9660112900016
10.635584,120233.3600110700058
10.64764,121229.4931083300031
10.659696,122223.3729742399878
10.671752,123215.0072452999882
10.683808,124204.4035235399785
10.695864,125191.5693767199987
10.70792,126176.512338529981
10.719976,127159.2399087499941
10.732032,128139.7595534599965
10.744088,129118.0787052399825
10.999792,127212.5872925599976
11.011848,128168.1330871999957
11.023904,129121.5888672499856
11.03596,130072.9614822799918
11.048016,131022.2577519799812
11.060072,131969.4844662899847
11.072128,132914.6483855699767
11.084184,133857.7562407799993
11.09624,134798.8147336399993
11.108296,135737.8305367399586
11.120352,136674.8102937699875
11.132408,137609.760619629989
11.144464,138542.6881005699976
11.15652,139473.5992943999587
11.168576,140402.5007306199985
11.412224,138461.3551223700047
11.42428,139370.533635379979
11.436336,140277.7952658999708
11.448392,141183.14606976998
11.460448,142086.5920773799876
11.472504,142988.1392937399792
11.48456,143887.7936986699928
11.496616,144785.5612468899921
11.508672,145681.4478681799952
11.520728,146575.4594674899702
11.532784,147467.6019250900131
11.54484,148357.8810966599845
11.556896,149246.3028134899791
11.568952,150132.8728825199645
11.581008,151017.5970865399575
11.593064,151900.4811842699996
11.824656,149944.9962857299828
11.836712,150810.7994855300053
11.848768,151674.8407935699793
11.860824,152537.1255825099647
11.87288,153397.6592031599715
11.884936,154256.4469846499847
11.896992,155113.4942345099985
11.909048,155968.8062387499956
11.921104,156822.3882620299696
11.93316,157674.2455476999745
11.945216,158524.3833179699718
11.957272,159372.8067739899847
11.969328,160219.5210959200045
11.981384,161064.5314431099682
11.99344,161907.8429541499931
12.005496,162749.4607469799806
12.017552,163589.3899190099907
12.237088,161639.7626624899562
12.249144,162464.9036699999702
12.2612,163288.4220141599647
12.273256,164110.3224767699718
12.285312,164930.6098208999608
12.297368,165749.2887908999687
12.309424,166566.3641125700083
12.32148,167381.8404931899853
12.333536,168195.7226216399571
12.345592,169008.0151684900043
12.357648,169818.7227860799753
12.369704,170627.8501086200116
12.38176,171435.4017522499775
12.393816,172241.3823151799731
12.405872,173045.7963777199616
12.417928,173848.6485023899581
12.429984,174649.943234039994
12.44204,175449.6850998699663
12.64952,173525.0033202799965
12.661576,174311.9497920299757
12.673632,175097.3990723399907
12.685688,175881.3554298399827
12.697744,176663.8231169299683
12.7098,177444.8063698899927
12.721856,178224.3094089399668
12.733912,179002.3364383199946
12.745968,179778.8916463599883
12.758024,180553.979205559997
12.77008,181327.6032726499828
12.782136,182099.7679887000116
12.794192,182870.4774791600058
12.806248,183639.735853939957
12.818304,184407.5472074899585
12.83036,185173.9156188899647
12.842416,185938.8451518799988
12.854472,186702.3398549499682
12.866528,187464.4037614499681
13.061952,185582.6755449699697
13.074008,186333.678241589979
13.086064,187083.2971625399652
13.09812,187831.5361288500127
13.110176,188578.3989474999828
13.122232,189323.8894114999558
13.134288,190068.0112998900001
13.146344,190810.768377889995
13.1584,191552.1643968899728
13.170456,192292.2030945600121
13.182512,193030.888194909959
13.194568,193768.2234082999633
13.206624,194504.2124315800025
13.21868,195238.858948089997
13.230736,195972.1666277699981
13.242792,196704.1391271599565
13.254848,197434.7800895199753
13.266904,198164.0931448700135
13.27896,198892.0819100299845
13.291016,199618.7499887099831
13.474384,197796.9456711299713
13.48644,198514.06301440997
13.534664,198697.5073780899977
13.619056,197542.0322818299751
13.631112,198251.7640527099713
13.643168,198960.2414923000027
13.655224,199667.4679228999878
13.66728,200373.4466550800128
13.679336,201078.1809877299813
13.691392,201781.6742081400001
13.703448,202483.9295920300058
13.886816,200678.3988496699597
13.898872,201371.7372172399766
13.947096,201539.8761147100007
14.020464,200641.576484199962
14.043544,201170.3028808099913
14.0556,201855.4882039899815
14.067656,202539.4991176899633
14.079712,203222.338638740009
14.091768,203904.0097736499731
14.103824,204584.5155186299812
14.11588,205263.8588596699988
14.299248,203474.7561550099632
14.311304,204145.7577869899682
14.359528,204299.7513567300041
14.423032,204236.1134607499695
14.455976,204604.6562335200135
14.468032,205267.4475699299941
14.480088,205929.1352373000113
14.492144,206589.7219900699562
14.5042,207249.2105734900102
14.516256,207907.603723709995
14.528312,208564.904167809989
14.71168,206784.8131552599946
14.723736,207434.3087922799745
14.77196,207573.2671899999835
14.784016,208219.471623949997
14.835464,208310.0333093699877
14.868408,208659.3265398700018
14.880464,209300.4626737399952
14.89252,209940.5607647299765
14.904576,210579.6233317899745
14.916632,211217.6528857199585
14.928688,211854.6519292299632
14.940744,212490.6229569299608
15.124112,210711.4784656399858
15.136168,211340.1489729799791
15.184392,211462.9285123799925
15.196448,212088.5091042299751
15.208504,212713.0978826099883
15.247896,212954.2331610899995
15.28084,213284.0864769199972
15.292896,213904.2860161999702
15.304952,214523.5084696799745
15.317008,215141.7561445399765
15.329064,215759.0313407299683
15.34112,216375.3363509299812
15.353176,216990.6734606599777
15.60888,214208.3224420999753
15.705328,213513.2739666400007
15.717384,214116.5476392299745
15.72944,214718.8965404999902
15.741496,215320.3227952399751
15.753552,215920.8285217199585
15.765608,216520.415831730002
16.021312,213817.195495599997
16.115448,213279.0847638899571
16.129816,213836.5372549800078
16.141872,214423.7050076999578
16.153928,215009.9963302999962
16.165984,215595.4131836299781
16.17804,216179.9575226699812
16.433744,213549.8764006500127
16.52728,213070.753324199991
16.542248,213606.7600969299668
16.554304,214179.4665604800096
16.56636,214751.3394614100102
16.578416,215322.380618269962
16.590472,215892.5918442799588
16.602528,216461.9749474299601
16.846176,214046.9148606800003
16.939712,213576.7125202599558
16.95468,214099.2339578199891
16.966736,214657.6689824099882
16.978792,215215.3109596999706
16.990848,215772.1615778100088
17.002904,216328.222520109964
17.01496,216883.4954651700096
17.027016,217437.9820868200033
17.258608,215218.747653339989
17.352144,214753.4045360599988
17.367112,215262.5030574999977
17.379168,215806.8786722099751
17.391224,216350.4995393099956
17.40328,216893.3672273299883
17.415336,217435.4833004699897
17.427392,217976.8493185899565
17.439448,218517.4668372499868
17.451504,219057.3374077099718
17.67104,217018.1268335100025
17.764576,216554.1130843799902
17.779544,217049.8860938199791
17.7916,217580.4312147299637
17.803656,218110.2578032299637
17.815712,218639.3673180199688
17.827768,219167.7612138499968
17.839824,219695.440941569977
17.85188,220222.4079480699722
17.863936,220748.6636763599813
17.875992,221274.2095655399602
18.083472,219402.1148151200026
18.177008,218936.3618038799608
18.191976,219418.9350293799647
18.204032,219935.8911256599815
18.216088,220452.1629451899785
18.228144,220967.7518457199907
18.2402,221482.6591813699921
18.252256,221996.8863027099863
18.264312,222510.4345567499978
18.276368,223023.3052869099768
18.288424,223535.4998331199743
18.30048,224047.0195317299797
18.495904,222331.603797249961
18.58944,221861.443916549964
18.604408,222330.9658657200047
18.616464,222834.5834096099707
18.62852,223337.5490913899843
18.640576,223839.8641758699663
18.652632,224341.52992457
18.664688,224842.5475957599696
18.676744,225342.9184444599663
18.6888,225842.6437224399993
18.700856,226341.724678269994
18.712912,226840.1625572799815
18.724968,227337.958601580001
18.908336,225770.898084320011
19.001872,225294.0131372300087
19.01684,225750.6504760999808
19.028896,226241.1860362300062
19.040952,226731.1004197699945
19.053008,227220.3948058999952
19.065064,227709.0703708099891
19.07712,228197.1282877099578
19.089176,228684.5697268400102
19.101232,229171.3958555099663
19.113288,229657.6078380699612
19.125344,230143.206835909979
19.1374,230628.194007549958
19.149456,231112.5705085300137
19.320768,229687.3499024499901
19.414304,229201.72672684997
19.429272,229645.6604241299783
19.441328,230123.3742880100031
19.453384,230600.4960370899637
19.46544,231077.0267715500077
19.477496,231552.9675888500052
19.489552,232028.3195837399682
19.501608,232503.083848270005
19.513664,232977.2614717599932
19.52572,233450.853540870011
19.537776,233923.8611395700132
19.549832,234396.2853491500127
19.561888,234868.1272482500052
19.573944,235339.3879128299882
19.7332,234051.0408854099797
19.826736,233554.933096399996
19.841704,233986.3552041699867
19.85376,234451.509436999971
19.865816,234916.0990920299657
19.877872,235380.1251964999822
19.889928,235843.5887751799885
19.901984,236306.4908503599575
19.91404,236768.832441829959
19.926096,237230.6145669500102
19.938152,237691.8382405799925
19.950208,238152.504475140012
19.962264,238612.614280620007
19.97432,239072.1686645699657
19.986376,239531.1686320700092
19.998432,239989.6151858299845
