"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-7, #0 - Double_Delay-0-20200525-21:06:54-20292)",
1,440
1.80088,453.1118120030199615
1.801256,7146.12470409540035
2.613688,9537.48113776399984
2.625744,14085.1507229950002
3.42612,14313.56753412000031
3.438176,17769.88728907399485
3.450232,21202.05249965799878
3.462288,24610.31549079699462
4.238552,22947.45941538499746
4.250608,25718.67365797999802
4.262664,28474.21237047999595
4.27472,31214.20818205599782
4.286776,33938.79222987199305
4.298832,36648.09418000098942
4.310888,39342.242248000999
4.322944,42021.36321913999552
5.050984,38351.3390658139978
5.06304,40641.19580331200255
5.075096,42920.1733326819957
5.087152,45188.34900156299392
5.099208,47445.79942610699785
5.111264,49692.6004996019908
5.12332,51928.8274009820014
5.135376,54154.55460320699765
5.147432,56369.8558815349969
5.159488,58574.80432166899825
5.171544,60769.4723278000018
5.1836,62953.93163052698925
5.195656,65128.2532946749996
5.207712,67292.50772700199715
5.219768,69446.76468379399715
5.231824,71591.09327836698485
5.863416,65935.62523962100365
5.875472,67852.2508489530008
5.887528,69761.0270388519856
5.899584,71662.0019309839988
5.91164,73555.22325446098675
5.923696,75440.73834984100515
5.935752,77318.594173071993
5.947808,79188.83729938798905
5.959864,81051.513927163003
5.97192,82906.66988171299435
5.983976,84754.3506190530023
5.996032,86594.6012296130063
6.008088,88427.46644190300105
6.020144,90252.99062613799435
6.0322,92071.21779781798215
6.044256,93882.1916212679931
6.056312,95685.9554131290058
6.068368,97482.5521458159779
6.080424,99272.0244509259934
6.09248,101054.4146226199806
6.104536,102829.7646209299853
6.116592,104598.1160750999985
6.128648,106359.5102867700039
6.140704,108113.988233270007
6.15276,109861.5905707399939
6.164816,111602.3576372799868
6.675848,104865.1796745499884
6.687904,106478.8011311199805
6.69996,108086.6154424799895
6.712016,109688.6539007099926
6.724072,111284.9475734299918
6.736128,112875.5273058899908
6.748184,114460.4237228900016
6.76024,116039.6672307499972
6.772296,117613.2880193099841
6.784352,119181.3160637899997
6.796408,120743.7811267399806
6.808464,122300.7127598799995
6.82052,123852.1403060199806
6.832576,125398.0929008300005
6.844632,126938.5994747399816
6.856688,128473.6887546899957
6.868744,130003.3892659299887
6.8808,131527.7293337999723
6.892856,133046.7370854699981
6.904912,134560.440451669972
6.916968,136068.867168389959
6.929024,137572.0447785999856
6.94108,139070.000633910007
6.953136,140562.7618962099653
6.965192,142050.3555393699786
6.977248,143532.8083508000122
6.989304,145010.1469330899995
7.00136,146482.3977055900028
7.013416,147949.5869060099935
7.025472,149411.7405919499575
7.037528,150868.884642449964
7.049584,152321.0447595199797
7.741456,139510.707029789977
7.753512,140848.6889553999641
7.765568,142182.5164624099848
7.777624,143512.2088699599841
7.78968,144837.7853775799735
7.801736,146159.26506612997
7.813792,147476.6668987299776
7.825848,148790.0097216299613
7.837904,150099.3122651199806
7.84996,151404.5931444200102
7.862016,152705.8708605999706
7.874072,154003.1638013999907
8.590056,142570.4326025299957
8.602112,143772.1340991599713
8.614168,144970.4719016400045
8.626224,146165.4601132500097
8.63828,147357.1127585599891
8.650336,148545.4437839199666
8.662392,149730.4670580599918
8.674448,150912.1963726099926
8.686504,152090.6454426299895
9.4266,141428.7229754099968
9.438656,142525.3764942800038
9.450712,143619.2320747899935
9.462768,144710.3004110399628
9.474824,145798.5921427099962
9.48688,146884.1178553999632
9.498936,147966.8880809399993
10.263144,138123.7562290899801
10.2752,139135.0046714399938
10.287256,140143.8828779999745
10.299312,141150.3991722899951
10.311368,142154.5618389300067
11.099688,133144.6433449299653
11.111744,134085.1625091399761
11.1238,135023.6429996899675
11.924176,126971.6247059799785
11.936232,127853.4130368799957
12.736608,120765.5915923599966
12.748664,121597.0551894700035
13.54904,115303.8148828299887
13.561096,116090.3219031899931
14.361472,110459.9862743899863
14.373528,111206.1005481699828
15.173904,106134.848355439986
15.18596,106844.4800328699926
15.986336,102249.3209200699926
15.998392,102925.8440473299994
16.798768,98739.6218579839912
16.810824,99385.9670412349804
17.6112,95553.7385300259917
17.623256,96172.4666542889896
18.423632,92648.8327600119806
18.435688,93242.1941616719992
19.236064,89989.30342506698765
19.24812,90559.285789988993
