"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-7, #0 - Half_Delay-0-20200525-21:07:17-7344)",
1,440
1.20088,679.501698754249899
1.201256,10715.45116111799868
1.413688,17633.31088613600146
1.425744,25940.14072652599852
1.62612,30157.6759402749957
1.638176,37295.1380071489983
1.650232,44328.31262513399977
1.662288,51259.46887663299255
1.838552,52902.50153381600095
1.850608,59072.47780188999585
1.862664,65162.5843415669949
1.87472,71174.36203806399105
1.886776,77109.31239320398875
1.898832,82968.89877566799955
1.910888,88754.5476239319829
1.922944,94467.6496039409828
2.050984,94448.3233413819976
2.06304,99740.1892353029976
2.075096,104970.5652172199913
2.087152,110140.5168382599948
2.099208,115251.0851711699794
2.111264,120303.2875092799945
2.12332,125298.1180415599952
2.135376,130236.5485048099941
2.147432,135119.5288139499603
2.159488,139947.9876711500106
2.171544,144722.833154660009
2.1836,149444.9532881499613
2.195656,154115.2165913099883
2.207712,158734.4726123699796
2.219768,163303.5524433199895
2.231824,167823.2692183599571
2.263416,170807.3107197299828
2.275472,175200.5737710699901
2.287528,179547.5290357099722
2.299584,183848.9048453999558
2.31164,188105.4143378699658
2.323696,192317.7558510199883
2.335752,196486.6133048399926
2.347808,200612.6565715799803
2.359864,204696.5418346099897
2.37192,208738.9119363199565
2.383976,212740.3967153999832
2.396032,216701.613334049994
2.408088,220623.1665952400065
2.420144,224505.6492506199858
2.4322,228349.64229915
2.444256,232155.7152769599915
2.456312,235924.426538650004
2.468368,239656.3235303699612
2.480424,243351.9430548999802
2.49248,247011.8115290799752
2.504536,250636.445233770005
2.516592,254226.35055663
2.528648,257782.0242279699882
2.540704,261303.9535498800095
2.55276,264792.6166188799535
2.564816,268248.4825422199202
2.576872,271672.0116482300212
2.588928,275063.6556906999315
2.600984,278423.8580475699852
2.61304,281753.0539142099437
2.625096,285051.670491289929
2.637152,288320.1271674899612
2.649208,291558.835697309928
2.661264,294768.2003739599595
2.67332,297948.618197600007
2.685376,301100.4790390599515
2.697432,304224.165799169917
2.709488,307320.0545638100002
2.721544,310388.5147548599625
2.7336,313429.909277139929
2.745656,316444.5946615299902
2.757712,319432.921204239944
2.769768,322395.2331025599257
2.781824,325331.8685869399915
2.79388,328243.1600498199687
2.805936,331129.4341709900175
2.817992,333991.0120397799175
2.830048,336828.2092741900115
2.842104,339641.3361368899925
3.04248,319315.8213036699445
3.054536,322002.4252455999367
3.066592,324667.9049576899257
3.266968,308445.0169086399245
3.279024,310987.659742660005
3.4794,296543.0821405999587
3.491456,298972.11936796992
3.691832,286010.84773088002
3.703888,288334.852457739994
3.904264,276624.736442000022
3.91632,278851.5749479099167
4.116696,268207.319656349951
4.128752,270344.1621099999167
4.329128,260615.9947222599867
4.341184,262669.354719819966
4.54156,253734.840010919957
4.553616,255710.6264559899565
4.753992,247468.6537125000027
4.766048,249372.2262134199837
4.966424,241738.5225264700125
4.97848,243574.7457055199767
5.178856,236478.4809618199937
5.190912,238251.7754105599592
5.391288,231632.9604354299945
5.403344,233347.3493451499955
5.60372,227154.8185847999988
5.615776,228813.9697879700097
5.816152,223003.8004508799635
5.828208,224611.0639839899952
6.028584,219145.3250050100027
6.04064,220703.7664883199608
6.241016,215549.5195013099578
6.253072,217061.9497104799952
6.453448,212190.4445499500137
6.465504,213659.445574540004
6.66588,209045.4673651499901
6.677936,210473.4157380399987
6.878312,206094.7511540600096
6.890368,207483.8383087799878
7.090744,203320.8362902399962
7.1028,204673.0866700499895
7.303176,200708.2945830699751
7.315232,202025.5816903699883
7.515608,198243.4421805900053
7.527664,199527.502821589994
7.72804,195914.0998234999707
7.740096,197166.5467715099797
7.940472,193709.3915827699815
7.952528,194931.7248552899687
8.152904,191619.5750618400047
8.16496,192813.191981340001
8.365336,189635.8974702300032
8.377392,190802.1016564599697
8.389448,191964.9540708799608
8.577768,189155.9669135399738
8.589824,190294.0036955400132
8.60188,191428.8504373499885
8.613936,192560.5205332399922
8.625992,193689.0273025999772
8.638048,194814.3839904599585
8.7902,192813.8153853199902
8.802256,193919.3770324299688
8.814312,195021.9143592799658
8.826368,196121.4397586899571
8.838424,197217.9655558500085
8.85048,198311.504008819989
8.862536,199402.0673089500043
8.874592,200489.6675813400065
8.886648,201574.3168852899682
8.898704,202656.0272147500066
8.91076,203734.8104987699766
8.922816,204810.6786019100103
9.002632,204334.0214284000097
9.014688,205398.1235956299926
9.026744,206459.3833612700102
9.0388,207517.8120989499726
9.050856,208573.4211217099797
9.062912,209626.2216823899647
9.074968,210676.2249740199762
9.087024,211723.442130229959
9.09908,212767.8842256600033
9.111136,213809.5622763200072
9.123192,214848.4872399899753
9.135248,215884.6700166199585
9.147304,216918.121448680001
9.15936,217948.8523215599702
9.171416,218976.8733639399863
9.183472,220002.1952481599866
9.195528,221024.8285905899821
9.207584,222044.78395200998
9.21964,223062.0718379499731
9.231696,224076.7026990499575
9.243752,225088.6869314499776
9.255808,226098.0348771300047
9.267864,227104.7568242299597
9.27992,228108.8630074399983
9.291976,229110.3636083399753
9.304032,230109.2687557399613
9.316088,231105.588525999977
9.328144,232099.3329433999602
9.3402,233090.511980469978
9.352256,234079.135558309964
9.364312,235065.2135469199852
9.376368,236048.755765559966
9.388424,237029.7719830299602
9.40048,238008.2719180299895
9.412536,238984.2652394599857
9.424592,239957.7615667599595
9.436648,240928.7704701899777
9.448704,241897.3014711900025
9.46076,242863.3640426399647
9.472816,243826.9676092099972
9.484872,244788.121547659975
9.496928,245746.8351871299667
9.508984,246703.117809429997
9.52104,247656.9786493899877
9.533096,248608.4268950999822
9.545152,249557.4716882499627
9.557208,250504.122124370012
