"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-5, #0 - Double_Delay-2-20200525-21:06:54-20292)",
1,440
1.80088,453.1118120030199615
1.801256,7146.12470409540035
2.613688,9537.48113776399984
2.625744,14085.1507229950002
3.42612,14313.56753412000031
3.438176,17769.88728907399485
3.450232,21202.05249965799878
3.462288,24610.31549079699462
4.238552,22947.45941538499746
4.250608,25718.67365797999802
4.262664,28474.21237047999595
4.27472,31214.20818205599782
4.286776,33938.79222987199305
4.298832,36648.09418000098942
4.310888,39342.242248000999
4.322944,42021.36321913999552
5.050984,38351.3390658139978
5.06304,40641.19580331200255
5.075096,42920.1733326819957
5.087152,45188.34900156299392
5.099208,47445.79942610699785
5.111264,49692.6004996019908
5.12332,51928.8274009820014
5.135376,54154.55460320699765
5.147432,56369.8558815349969
5.159488,58574.80432166899825
5.171544,60769.4723278000018
5.1836,62953.93163052698925
5.195656,65128.2532946749996
5.207712,67292.50772700199715
5.219768,69446.76468379399715
5.231824,71591.09327836698485
5.863416,65935.62523962100365
5.875472,67852.2508489530008
5.887528,69761.0270388519856
5.899584,71662.0019309839988
5.91164,73555.22325446098675
5.923696,75440.73834984100515
5.935752,77318.594173071993
5.947808,79188.83729938798905
5.959864,81051.513927163003
5.97192,82906.66988171299435
5.983976,84754.3506190530023
6.69996,76624.9350742389795
6.712016,78283.48442554398185
6.724072,79936.0863476769879
6.736128,81582.77277391398065
6.748184,83223.57540932498505
6.76024,84858.52573281398485
6.772296,86487.6549991320059
6.784352,88110.99424086499475
6.796408,89728.57427040897855
6.808464,91340.42568191597785
7.54856,83982.1104952470048
7.560616,85442.773445972998
7.572672,86898.7855277500054
7.584728,88350.16891838400605
7.596784,89796.9456548979794
7.60884,91239.13763464600165
7.620896,92676.7666164189865
8.385104,85668.10858875498505
8.39716,86980.83637801400605
8.409216,88289.8001430809961
8.421272,89595.0160498319889
9.221648,83126.1397095179998
9.233704,83690.7919075599928
9.23992,84939.2635434069959
10.03408,79418.14296876199635
10.046136,80406.63594440699655
10.057024,81518.3497623149886
10.846512,76696.3610052709989
10.858568,77721.4822433310035
10.870624,78744.3296723350066
10.88268,79764.91084916598605
11.658944,75488.1402638180004
11.671,76443.14968725899215
11.683056,77396.18812064197825
11.695112,78347.2616594010031
12.471376,74437.33554340800015
12.483432,75331.2069949989961
12.495488,76223.35358170900125
12.507544,77113.7802913189804
12.5196,78002.49209239898465
13.283808,74422.63543706698675
13.332032,75057.7256340220044
13.344088,75860.41099249297975
14.144464,72420.13553853999455
14.15652,73210.08270394100665
14.956896,70098.5017212129894
14.968952,70847.44476433598875
14.981008,71595.1823802510041
15.769328,68780.6100551649868
15.781384,69492.00399660799285
15.79344,70202.3118459309915
16.58176,67591.85997143900005
16.593816,68269.2877876919809
19.285996461576,59364.5240099999935
