"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-6, #0 - Much_Higher_DataRate-1-20200525-20:52:46-15688)",
1,440
1.4000044,582.855311026170055
1.40000628,9194.24447153189973
4.4000044,5665.44888000569879
4.80006656,7704.893158814898905
4.80012684,10216.39669838400001
5.20012872,11748.93993777899956
5.200189,14067.18101976699832
5.60019088,15215.19566490199935
5.60025116,17367.79248307899975
5.60031144,19520.34296149799768
6.00025304,20228.48023089399788
6.00031332,22237.50542413299981
6.0003736,24246.49025187399815
6.00043388,26255.43471533100082
6.4003152,26498.69493927399882
6.40037548,28382.08485855899915
6.40043576,30265.4393019019989
6.40049604,32148.75827030399512
6.40055632,34032.04176476999412
6.80037736,33804.0064294309995
6.80043764,35576.5338655469967
6.80049792,37349.029878094996
6.8005582,39121.49446791000065
6.80061848,40893.92763582899337
6.80067876,42666.32938268600252
7.20043952,41971.88229420800045
7.2004998,43645.85913883399905
7.20056008,45319.80795582800045
7.20062036,46993.7287458939971
7.20068064,48667.62150973599615
7.20074092,50341.48624805700075
7.2008012,52015.3229615619928
7.60050168,50866.11598512298935
7.60056196,52451.91106895499965
7.60062224,54037.6809991280023
7.60068252,55623.4257762420018
7.6007428,57209.1454008939907
7.60080308,58794.8398736829984
7.60086336,60380.5091952079963
8.00056384,58870.85078243700235
8.00062412,60377.28966574699715
8.0006844,61883.70584896499325
8.00074468,63390.09933260398955
8.00080496,64896.47011717699925
8.00086524,66402.81820319700625
8.00092552,67909.14359117799885
8.0009858,69415.4462816320008
8.400626,67548.2993767370061
8.40068628,68982.93552273898955
8.40074656,70417.55108012698455
8.40080684,71852.14604934299105
8.40086712,73286.7204308309881
8.4009274,74721.2742250339941
8.40098768,76155.8074323949985
8.40104796,77590.3200533569904
8.40110824,79024.8120883629888
8.80068816,76806.7209871459925
8.80074844,78176.07839725998905
8.80080872,79545.4170488999805
8.800869,80914.7369424539791
8.80092928,82284.03807830598065
8.80098956,83653.3204568419894
8.80104984,85022.5840784469909
8.80111012,86391.8289435059994
8.8011704,87761.05505240499015
8.80123068,89130.26240552999635
9.20075032,86570.3309292710035
9.2008106,87880.0830874620004
9.20087088,89189.81808382898415
9.20093116,90499.5359187099963
9.20099144,91809.23659244299015
9.20105172,93118.9201053639988
9.201112,94428.5864578110046
9.20117228,95738.2356501210013
9.20123256,97047.8676826309817
9.20129284,98357.4825556800058
9.20135312,99667.0802696030001
9.60081248,96775.9761932149993
9.60087276,98031.0877487349787
9.60093304,99286.1835436779945
9.60099332,100541.2635783400035
9.6010536,101796.3278530199892
9.60111388,103051.3763680099798
9.60117416,104306.4091236100063
9.60123444,105561.426120119984
9.60129472,106816.4273578299904
9.601355,108071.412837039999
9.60141528,109326.3825580499831
9.60147556,110581.336521149991
10.00087464,107370.6089370599945
10.00093492,108575.4490641199806
10.0009952,109780.2746670699848
10.00105548,110985.0857461699921
10.00111576,112189.8823016899985
10.00117604,113394.6643339
10.00123632,114599.4318430399868
10.0012966,115804.1848293999788
10.00135688,117008.9232932199953
10.00141716,118213.6472347700035
10.00147744,119418.3566543099875
10.00153772,120623.0515521199845
10.001598,121827.7319284399852
10.4009368,118309.3430584099838
10.40099708,119467.7770258499945
10.40105736,120626.1975657400031
10.40111764,121784.6046783099878
10.40117792,122942.9983637899856
10.4012382,124101.3786223999918
10.40129848,125259.7454543999916
10.40135876,126418.098859999998
10.40141904,127576.4388394499833
10.40147932,128734.7653929700025
10.4015396,129893.0785207999867
10.40159988,131051.378223170002
10.40166016,132209.6645003299922
10.40172044,133367.9373524899707
10.80099896,129553.94266606
10.80105924,130669.4064572099883
10.80111952,131784.8577977799575
10.8011798,132900.2966879599841
10.80124008,134015.723127970006
10.80130036,135131.1371180099663
10.80136064,136246.5386583000068
10.80142092,137361.9277490400122
10.8014812,138477.3043904399962
10.80154148,139592.6685827099716
10.80160176,140708.0203260499981
10.80166204,141823.3596206799843
10.80172232,142938.686466810002
10.8017826,144054.0008646399943
10.80184288,145169.3028143699626
11.20106112,141071.6344702899801
11.2011214,142147.1960834200141
11.20118168,143222.7461201199907
11.20124196,144298.2845805799585
11.20130224,145373.8114649800113
11.20136252,146449.3267735099647
11.2014228,147524.8305063499715
11.20148308,148600.3226636999747
11.20154336,149675.803245740011
11.20160364,150751.2722526600116
11.20166392,151826.7296846400127
11.2017242,152902.1755418700045
11.20178448,153977.6098245399766
11.20184476,155053.0325328299653
11.20190504,156128.4436669399726
11.20196532,157203.843227039964
11.60112328,152834.1658998400085
11.60118356,153872.5760839499995
11.60124384,154910.975476919964
11.60130412,155949.3640789099731
11.6013644,156987.7418900799816
11.60142468,158026.1089106199793
11.60148496,159064.4651406799672
11.60154524,160102.8105804299696
11.60160552,161141.1452300400118
11.6016658,162179.4690896900133
11.60172608,163217.7821595299751
11.60178636,164256.0844397399921
11.60184664,165294.3759304899718
11.60190692,166332.656631929974
11.6019672,167370.9265442499888
11.60202748,168409.1856676099701
11.60208776,169447.4340021699896
12.00118544,164817.0516061999946
12.00124572,165820.786144190002
12.001306,166824.5105990999722
12.00136628,167828.2249710700121
12.00142656,168831.929260250006
12.00148684,169835.6234667999666
12.00154712,170839.3075908700116
12.0016074,171842.9816326099676
12.00166768,172846.6455921700102
12.00172796,173850.2994697099781
12.00178824,174853.9432653699765
12.00184852,175857.5769793199718
12.0019088,176861.2006116900003
12.00196908,177864.8141626399587
12.00202936,178868.4176323299757
12.00208964,179872.0110209099945
12.00214992,180875.5943285200041
12.0022102,181879.1675553199597
12.4012476,176998.9658137299696
12.40130788,177970.2609883099791
12.40136816,178941.5467204399751
12.40142844,179912.8230102499941
12.40148872,180884.0898578799675
12.401549,181855.3472634700003
12.40160928,182826.5952271599665
12.40166956,183797.8337490899718
12.40172984,184769.0628293799813
12.40179012,185740.2824681900087
12.4018504,186711.4926656399613
12.40191068,187682.6934218799572
12.40197096,188653.8847370399738
12.40203124,189625.0666112700121
12.40209152,190596.2390446899803
12.4021518,191567.4020374399838
12.40221208,192538.5555896699657
12.40227236,193509.6997015199735
12.40233264,194480.8343731099737
12.80130976,189361.2486102399993
12.80137004,190302.1311303299728
12.80143032,191243.0047894800078
12.8014906,192183.8695878100112
12.80155088,193124.7255254400072
12.80161116,194065.5726024999743
12.80167144,195006.4108191200063
12.80173172,195947.2401754099985
12.801792,196888.0606715099995
12.80185228,197828.8723075299633
12.80191256,198769.6750836099957
12.80197284,199710.4689998700043
12.80203312,200651.2540564300137
12.8020934,201592.0302534300128
12.80215368,202532.7975909799565
12.80221396,203473.5560691999847
12.80227424,204414.3056882399827
12.80233452,205355.0464482000093
12.8023948,206295.7783492199952
12.80245508,207236.5013914199657
13.20137192,201887.502007439965
13.2014322,202799.81440196
13.20167332,203709.3279626799625
13.20209528,203780.9864980799608
13.20215556,204693.2402605299715
13.20221584,205605.4856924699846
13.20227612,206517.7227940000007
13.2023364,207429.9515652399853
13.20239668,208342.1720063000096
13.20245696,209254.3841172999815
13.20251724,210166.5878983499712
13.60143408,204888.9832946200033
13.60149436,205774.4484481799876
13.60173548,206657.1581349399633
13.60210232,206812.7362829599875
13.60221772,207697.307759310002
13.602278,208582.7094549899916
13.60233828,209468.1033031899712
13.60239856,210353.4893040200106
13.60245884,211238.8674575799956
13.60251912,212124.2377639799956
13.6025794,213009.6002233200118
14.00149624,207801.7913319799696
14.00155652,208661.943822229979
14.00179764,209519.3828268999926
14.00211516,210375.6444180000102
14.00227988,211234.1722453800026
14.00234016,212094.2618208799971
14.00240044,212954.3439910399603
14.00246072,213814.4187559600097
14.002521,214674.4861157499831
14.00258128,215534.5460704899737
14.00264156,216394.5986202899941
14.4015584,211237.6949427899666
14.40161868,212073.9388997599593
14.4018598,212907.5024046499743
14.40192008,213743.7218718400102
14.40217732,214576.9998060300126
14.40234204,215411.6317598599702
14.40240232,216247.8127468400047
14.4024626,217083.9867343200015
14.40252288,217920.1537223999618
14.40258316,218756.3137111599785
14.40264344,219592.4667006799713
14.40270372,220428.6126910599991
14.80162056,215302.3709182299783
14.80168084,216115.9961884400102
14.80192196,216926.9645304899891
14.80198224,217740.5666175200015
14.80204252,218554.1620778999633
14.80223948,219365.7253273900126
14.8024042,220177.7465312000125
14.80246448,220991.3088742599932
14.80252476,221804.8645912199858
14.80258504,222618.4136821599672
14.80264532,223431.9561471499613
14.8027056,224245.4919862799575
14.80276588,225059.021199619979
15.20168272,219946.1771163700026
15.201743,220738.3719090599908
15.20198412,221527.9251324500066
15.2020444,222320.0979468299768
15.20210468,223112.2644788899918
15.20230164,223902.4116613999937
15.20236192,224694.5585150200053
15.20246636,225486.0440947599706
15.20252664,226278.1760861299691
15.20258692,227070.3017957200058
15.2026472,227862.4212235899751
15.20270748,228654.5343698199718
15.20276776,229446.641234489972
15.20282804,230238.7418176700003
15.60174488,225124.5631187399843
15.60180516,225896.424410929961
15.60204628,226665.652474909962
15.60210656,227437.4929022399585
