"throughput:vector Exercise4.client.pppg$o[0].channel ($timelimit=20, $ber=1e-5, #0 - Half_Delay-2-20200525-21:07:18-7344)",
1,440
1.20088,679.501698754249899
1.201256,10715.45116111799868
1.413688,17633.31088613600146
1.425744,25940.14072652599852
1.62612,30157.6759402749957
1.638176,37295.1380071489983
1.650232,44328.31262513399977
1.662288,51259.46887663299255
1.838552,52902.50153381600095
1.850608,59072.47780188999585
1.862664,65162.5843415669949
1.87472,71174.36203806399105
1.886776,77109.31239320398875
1.898832,82968.89877566799955
1.910888,88754.5476239319829
1.922944,94467.6496039409828
2.050984,94448.3233413819976
2.06304,99740.1892353029976
2.075096,104970.5652172199913
2.087152,110140.5168382599948
2.099208,115251.0851711699794
2.111264,120303.2875092799945
2.12332,125298.1180415599952
2.135376,130236.5485048099941
2.147432,135119.5288139499603
2.159488,139947.9876711500106
2.171544,144722.833154660009
2.1836,149444.9532881499613
2.195656,154115.2165913099883
2.207712,158734.4726123699796
2.219768,163303.5524433199895
2.231824,167823.2692183599571
2.263416,170807.3107197299828
2.275472,175200.5737710699901
2.287528,179547.5290357099722
2.299584,183848.9048453999558
2.31164,188105.4143378699658
2.323696,192317.7558510199883
2.335752,196486.6133048399926
2.347808,200612.6565715799803
2.359864,204696.5418346099897
2.37192,208738.9119363199565
2.383976,212740.3967153999832
2.49996,205356.8857101699678
2.512016,209170.6422252099722
2.524072,212947.9666190199782
2.536128,216689.3784540799675
2.548184,220395.3874602499993
2.56024,224066.4937662099828
2.572296,227703.1881245399702
2.584352,231305.952130360004
2.596408,234875.25843395997
2.608464,238411.5709475000032
2.74856,230645.8654713699932
2.760616,234005.7436456200077
2.772672,237336.4032961699987
2.784728,240638.223912709974
2.796784,243911.5784415199882
2.80884,247156.833425899967
2.820896,250374.3491429699925
2.985104,240640.1921005100007
2.99716,243694.6976471099765
3.009216,246724.7283013199915
3.021272,249730.577054960012
3.221648,237940.333642910001
3.233704,238975.490644779987
3.23992,242238.0799525899922
3.43408,232052.8351115899852
3.446136,234400.4995740199802
3.457024,237149.6408471599562
3.646512,228132.5277415799785
3.658568,230676.0459283500087
3.670624,233202.8559721699562
3.68268,235713.1219655299785
3.858944,228070.6846225300101
3.871,230474.8127098899563
3.883056,232864.0122625099602
3.895112,235238.4218990399962
4.071376,228015.2950746899578
4.083432,230294.5169651400058
4.095488,232560.320040009973
4.107544,234812.822455459972
4.1196,237052.1409845600127
4.283808,230779.7174849999712
4.332032,230993.6768703499687
4.344088,233026.5869383899837
4.544464,225404.8002140599995
4.55652,227454.2852879000121
4.756896,220407.5935231699835
4.768952,222378.4177320299781
4.781008,224339.3025069200078
4.969328,218263.7169452299706
4.981384,220155.6836413299893
4.99344,222038.514531060005
5.18176,216295.6215648700012
5.193816,218114.7734151500038
6.262736997907,182812.0836596899893
6.475168997907,178676.4176153499862
6.487224997907,180202.7832204299625
6.687600997907,176606.2300022999983
6.699656997907,178087.9230642300096
6.711712997907,179564.2931060699625
6.900032997907,176410.7505528199828
6.912088997907,177847.2471017399797
6.924144997907,179278.7413283899657
7.112464997907,176226.9480930799615
7.124520997907,177620.9236202400056
7.136576997907,179010.1893911699876
7.148632997907,180394.769234559964
7.324896997907,177699.7001284699647
7.336952997907,179050.8948844000108
7.349008997907,180397.656388439994
7.361064997907,181740.0064230400016
7.373120997907,183077.9666281300008
7.537328997907,180688.9417163800093
7.549384997907,181997.3415557600087
7.561440997907,183301.5691564099972
7.573496997907,184601.64444329997
7.585552997907,185897.5872146799806
7.597608997907,187189.417143179976
7.749760997907,185069.9654334299843
7.761816997907,186335.7510734900127
7.773872997907,187597.6106623599766
7.785928997907,188855.5624377399793
7.797984997907,190109.6245245299645
7.810040997907,191359.8149357399665
7.822096997907,192606.1515733099652
7.962192997907,190731.3726757399847
7.974248997907,191954.8788107499707
7.986304997907,193174.6909746499727
7.998360997907,194390.8258713099633
8.010416997907,195603.3001040300001
8.022472997907,196812.1301763099613
8.034528997907,198017.3324925999618
8.046584997907,199218.9233590399956
8.174624997907,197573.3443936000108
8.222848997907,197880.8075417900102
8.259016997907,197229.2829053099845
8.435280997907,194537.2063369500096
8.447336997907,195686.7590827199743
8.647712997907,192546.6305834800001
8.659768997907,193670.7550057499897
9.647712997907,175088.1271412699712
9.860144997907,172538.6391742799891
9.872200997907,173549.140699549985
10.072576997907,171293.6024573000025
10.084632997907,172284.3062668300112
10.096688997907,173272.644167079997
10.285008997907,171272.1885181099638
10.297064997907,172242.4788384399721
10.309120997907,173210.4997470199591
10.497440997907,171251.6412674699672
10.509496997907,172202.3423538199853
10.521552997907,173150.8647404399812
10.533608997907,174097.2159080900015
10.709872997907,172357.5994188499747
10.721928997907,173288.220838119974
10.733984997907,174216.7517808799743
10.746040997907,175143.1992830300001
10.758096997907,176067.5703489700096
10.922304997907,174524.3334960200003
11.922304997907,160897.0748807999766
12.134736997907,159073.9049666199712
12.146792997907,159908.5454353799575
14.134736997907,138271.5504568199972
18.134736997907,108437.635474229988
